sample_index,t_received,t_display,latency_ms
0,1777956304.153722,1777956303.891000,262.722
1,1777956304.215988,1777956303.943000,272.988
2,1777956320.963462,1777956320.770000,193.462
3,1777956321.331718,1777956321.168000,163.718
4,1777956330.575142,1777956330.366000,209.142
5,1777956330.736078,1777956330.562000,174.078
6,1777956331.158489,1777956330.968000,190.489
7,1777956347.722793,1777956347.563000,159.793
8,1777956348.346736,1777956348.165000,181.736
9,1777956353.745065,1777956353.570000,175.065
10,1777956355.567206,1777956355.366000,201.206
