t_s,kind,value
0.0056,level,3.5084
0.0452,level,3.5707
0.0847,level,3.6325
0.1254,level,3.6961
0.1655,level,3.7583
0.2048,level,3.8189
0.2450,level,3.8802
0.2852,level,3.9411
0.3202,level,3.9934
0.3648,level,4.0588
0.4007,level,4.1105
0.4407,level,4.1676
0.4854,level,4.2298
0.5256,level,4.2842
0.5650,level,4.3362
0.6054,level,4.3882
0.6451,level,4.4377
0.6848,level,4.4855
0.7247,level,4.5319
0.7655,level,4.5775
0.8052,level,4.6199
0.8448,level,4.6603
0.8850,level,4.6993
0.9205,level,4.7320
0.9648,level,4.7703
1.0053,level,4.8029
1.0443,level,4.8322
1.0850,level,4.8604
1.1253,level,4.8858
1.1650,level,4.9085
1.2049,level,4.9288
1.2452,level,4.9468
1.2849,level,4.9620
1.3247,level,4.9747
1.3650,level,4.9850
1.4056,level,4.9926
1.4453,level,4.9975
1.4851,level,4.9998
1.5253,level,4.9995
1.5605,level,4.9970
1.6009,level,4.9917
1.6450,level,4.9828
1.6852,level,4.9719
1.7252,level,4.9585
1.7652,level,4.9426
1.8049,level,4.9243
1.8456,level,4.9031
1.8857,level,4.8795
1.9253,level,4.8538
1.9653,level,4.8256
2.0003,level,4.7990
2.0404,level,4.7663
2.0802,level,4.7317
2.1248,level,4.6904
2.1651,level,4.6511
2.2054,level,4.6094
2.2454,level,4.5661
2.2848,level,4.5216
2.3251,level,4.4744
2.3655,level,4.4253
2.4056,level,4.3749
2.4402,level,4.3301
2.4850,level,4.2705
2.5204,level,4.2223
2.5654,level,4.1596
2.6010,level,4.1091
2.6450,level,4.0453
2.6803,level,3.9931
2.7250,level,3.9263
2.7649,level,3.8659
2.8054,level,3.8039
2.8454,level,3.7422
2.8803,level,3.6879
2.9252,level,3.6177
2.9650,level,3.5553
3.0054,level,3.4920
3.0454,level,3.4290
3.0853,level,3.3664
3.1254,level,3.3040
3.1655,level,3.2417
3.2052,level,3.1805
3.2452,level,3.1194
3.2850,level,3.0593
3.3212,level,3.0060
3.3650,level,2.9408
3.4002,level,2.8898
3.4454,level,2.8261
3.4853,level,2.7704
3.5252,level,2.7163
3.5647,level,2.6641
3.6053,level,2.6120
3.6453,level,2.5621
3.6852,level,2.5140
3.7251,level,2.4676
3.7655,level,2.4226
3.8055,level,2.3798
3.8450,level,2.3395
3.8854,level,2.3003
3.9249,level,2.2642
3.9651,level,2.2294
4.0006,level,2.2007
4.0452,level,2.1671
4.0852,level,2.1395
4.1205,level,2.1170
4.1654,level,2.0912
4.2049,level,2.0711
4.2454,level,2.0531
4.2853,level,2.0378
4.3256,level,2.0250
4.3651,level,2.0150
4.4053,level,2.0074
4.4452,level,2.0025
4.4851,level,2.0002
4.5205,level,2.0003
4.5648,level,2.0034
4.6003,level,2.0082
4.6449,level,2.0172
4.6853,level,2.0281
4.7253,level,2.0415
4.7652,level,2.0574
4.8051,level,2.0758
4.8451,level,2.0968
4.8853,level,2.1203
4.9203,level,2.1428
4.9653,level,2.1744
5.0051,level,2.2048
5.0449,level,2.2374
5.0803,level,2.2684
5.1253,level,2.3100
5.1648,level,2.3488
5.2052,level,2.3904
5.2451,level,2.4336
5.2850,level,2.4787
5.3251,level,2.5257
5.3646,level,2.5737
5.4058,level,2.6253
5.4453,level,2.6765
5.4850,level,2.7294
5.5251,level,2.7840
5.5655,level,2.8405
5.6054,level,2.8974
5.6451,level,2.9549
5.6848,level,3.0135
5.7248,level,3.0732
5.7647,level,3.1338
5.8004,level,3.1885
5.8448,level,3.2570
5.8851,level,3.3197
5.9256,level,3.3829
5.9649,level,3.4446
6.0049,level,3.5073
6.0453,level,3.5707
6.0854,level,3.6336
6.1247,level,3.6950
6.1650,level,3.7574
6.2052,level,3.8195
6.2450,level,3.8802
6.2851,level,3.9408
6.3254,level,4.0010
6.3655,level,4.0598
6.4004,level,4.1104
6.4455,level,4.1743
6.4849,level,4.2290
6.5204,level,4.2774
6.5653,level,4.3367
6.6051,level,4.3879
6.6449,level,4.4374
6.6854,level,4.4862
6.7254,level,4.5327
6.7649,level,4.5769
6.8047,level,4.6194
6.8458,level,4.6612
6.8853,level,4.6996
6.9226,level,4.7338
6.9653,level,4.7707
7.0007,level,4.7994
7.0454,level,4.8330
7.0848,level,4.8603
7.1204,level,4.8829
