t_s,zoom_state
0.0100,3.5000
0.0204,3.5000
0.0299,3.5000
0.0397,3.5000
0.0494,3.5000
0.0603,3.5000
0.0692,3.5000
0.0791,3.5000
0.0896,3.5000
0.1002,3.5000
0.1096,3.5000
0.1197,3.5000
0.1302,3.5000
0.1401,3.5000
0.1495,3.5000
0.1599,3.6000
0.1700,3.6000
0.1804,3.6000
0.1898,3.6000
0.1992,3.6000
0.2094,3.6000
0.2211,3.6000
0.2291,3.6000
0.2393,3.6000
0.2496,3.6000
0.2599,3.6000
0.2707,3.6000
0.2796,3.7000
0.2912,3.7000
0.3001,3.7000
0.3097,3.7000
0.3200,3.7000
0.3292,3.7000
0.3403,3.8000
0.3498,3.8000
0.3592,3.8000
0.3693,3.8000
0.3803,3.8000
0.3909,3.8000
0.4002,3.8000
0.4101,3.8000
0.4199,3.8000
0.4295,3.8000
0.4404,3.8000
0.4496,3.8000
0.4606,3.9000
0.4694,3.9000
0.4798,3.9000
0.4911,3.9000
0.5001,3.9000
0.5100,3.9000
0.5199,3.9000
0.5298,3.9000
0.5403,3.9000
0.5492,4.0000
0.5592,4.0000
0.5702,4.0000
0.5799,4.0000
0.5902,4.0000
0.5997,4.0000
0.6139,4.0000
0.6195,4.0000
0.6291,4.1000
0.6394,4.1000
0.6490,4.1000
0.6613,4.1000
0.6698,4.1000
0.6791,4.1000
0.6888,4.1000
0.6996,4.1000
0.7087,4.2000
0.7190,4.2000
0.7294,4.2000
0.7401,4.2000
0.7496,4.2000
0.7595,4.2000
0.7717,4.2000
0.7788,4.2000
0.7890,4.3000
0.7995,4.3000
0.8091,4.3000
0.8200,4.3000
0.8294,4.3000
0.8392,4.3000
0.8489,4.3000
0.8595,4.3000
0.8694,4.3000
0.8793,4.4000
0.8900,4.4000
0.8993,4.4000
0.9090,4.4000
0.9203,4.4000
0.9289,4.4000
0.9396,4.4000
0.9491,4.4000
0.9592,4.5000
0.9689,4.5000
0.9817,4.5000
0.9894,4.5000
0.9995,4.6000
1.0117,4.6000
1.0193,4.6000
1.0285,4.6000
1.0386,4.6000
1.0493,4.6000
1.0595,4.7000
1.0686,4.7000
1.0793,4.7000
1.0889,4.7000
1.1016,4.8000
1.1092,4.8000
1.1196,4.8000
1.1312,4.8000
1.1396,4.8000
1.1493,4.8000
1.1593,4.8000
1.1689,4.8000
1.1793,4.8000
1.1912,4.9000
1.1993,4.9000
1.2099,4.9000
1.2199,4.9000
1.2306,4.9000
1.2394,4.9000
1.2496,4.9000
1.2595,4.9000
1.2695,4.9000
1.2792,4.9000
1.2891,4.9000
1.3010,4.9000
1.3092,4.9000
1.3190,4.9000
1.3316,4.9000
1.3397,4.9000
1.3497,4.9000
1.3592,4.9000
1.3693,4.9000
1.3804,4.9000
1.3893,5.0000
1.3997,5.0000
1.4094,5.0000
1.4199,5.0000
1.4295,5.0000
1.4397,5.0000
1.4499,5.0000
1.4596,5.0000
1.4697,5.0000
1.4793,5.0000
1.4891,5.0000
1.4992,5.0000
1.5100,5.0000
1.5196,5.0000
1.5300,5.0000
1.5397,5.0000
1.5492,5.0000
1.5602,5.0000
1.5698,5.0000
1.5804,5.0000
1.5900,5.0000
1.6006,5.0000
1.6123,5.0000
1.6199,5.0000
1.6297,5.0000
1.6394,5.0000
1.6493,5.0000
1.6611,5.0000
1.6693,5.0000
1.6794,5.0000
1.6903,5.0000
1.6997,5.0000
1.7094,5.0000
1.7196,5.0000
1.7293,5.0000
1.7400,5.0000
1.7487,5.0000
1.7596,5.0000
1.7692,5.0000
1.7799,5.0000
1.7893,5.0000
1.7993,5.0000
1.8091,5.0000
1.8215,5.0000
1.8290,5.0000
1.8396,5.0000
1.8529,5.0000
1.8598,5.0000
1.8695,4.9000
1.8799,4.9000
1.8903,4.9000
1.9001,4.9000
1.9095,4.9000
1.9197,4.9000
1.9293,4.9000
1.9403,4.9000
1.9503,4.9000
1.9596,4.9000
1.9699,4.9000
1.9815,4.9000
1.9900,4.9000
2.0000,4.9000
2.0097,4.9000
2.0201,4.9000
2.0290,4.9000
2.0402,4.9000
2.0518,4.9000
2.0600,4.9000
2.0702,4.8000
2.0800,4.8000
2.0895,4.8000
2.0998,4.8000
2.1127,4.8000
2.1192,4.8000
2.1288,4.8000
2.1406,4.8000
2.1493,4.8000
2.1592,4.8000
2.1694,4.8000
2.1802,4.8000
2.1893,4.8000
2.1994,4.7000
