t_s,zoom_state
0.0096,1.0000
0.0201,1.0000
0.0291,1.0000
0.0391,1.0000
0.0491,1.0000
0.0601,1.0000
0.0696,1.0000
0.0796,1.0000
0.0897,1.0000
0.1001,1.0000
0.1084,1.0000
0.1189,1.0000
0.1300,1.0000
0.1402,1.0000
0.1490,1.0000
0.1594,1.0000
0.1696,1.0000
0.1815,1.0000
0.1888,1.0000
0.2000,1.0000
0.2091,1.0000
0.2206,1.0000
0.2293,1.0000
0.2391,1.0000
0.2488,1.0000
0.2603,1.0000
0.2688,1.0000
0.2790,1.0000
0.2896,1.0000
0.3012,1.0000
0.3094,1.0000
0.3199,1.0000
0.3294,1.0000
0.3412,1.0000
0.3491,1.0000
0.3593,1.0000
0.3687,1.0000
0.3801,1.0000
0.3891,1.0000
0.3990,1.0000
0.4090,1.0000
0.4207,1.0000
0.4295,1.0000
0.4412,1.0000
0.4495,1.0000
0.4604,1.0000
0.4689,1.0000
0.4793,1.0000
0.4890,1.0000
0.5000,1.0000
0.5088,1.0000
0.5191,1.0000
0.5290,1.0000
0.5411,1.0000
0.5487,1.0000
0.5591,1.0000
0.5692,1.0000
0.5805,1.0000
0.5884,1.0000
0.5987,1.0000
0.6145,1.0000
0.6186,1.0000
0.6287,1.0000
0.6392,1.0000
0.6494,1.0000
0.6598,1.0000
0.6688,1.0000
0.6795,1.0000
0.6890,1.0000
0.7007,1.0000
0.7095,1.0000
0.7189,1.0000
0.7286,1.0000
0.7402,1.0000
0.7490,1.0000
0.7587,1.0000
0.7692,1.0000
0.7802,1.0000
0.7888,1.0000
0.7995,1.0000
0.8093,1.0000
0.8201,1.0000
0.8292,1.0000
0.8394,1.0000
0.8488,1.0000
0.8598,1.0000
0.8690,1.0000
0.8793,1.0000
0.8889,1.0000
0.9008,1.0000
0.9096,1.0000
0.9192,1.0000
0.9297,1.0000
0.9396,1.0000
0.9487,1.0000
0.9587,1.0000
0.9687,1.0000
0.9807,1.0000
0.9904,1.0000
1.0004,1.0000
1.0123,1.0000
1.0199,1.0000
1.0299,1.0000
1.0396,1.0000
1.0503,1.0000
1.0588,1.0000
1.0682,1.0000
1.0786,1.0000
1.0903,1.0000
1.0982,1.0000
1.1083,1.0000
1.1194,1.0000
1.1309,1.0000
1.1392,1.0000
1.1487,1.0000
1.1588,1.0000
1.1706,1.0000
1.1797,1.0000
1.1891,1.0000
1.1988,1.0000
1.2085,1.0000
1.2200,1.0000
