t_s,zoom_state
0.0110,1.0000
0.0197,1.0000
0.0298,1.0000
0.0417,1.0000
0.0503,1.0000
0.0597,1.0000
0.0711,1.0000
0.0799,1.0000
0.0909,1.0000
0.1004,1.0000
0.1104,1.0000
0.1199,1.0000
0.1316,1.0000
0.1397,1.0000
0.1500,1.0000
0.1602,1.0000
0.1708,1.0000
0.1801,1.0000
0.1905,1.0000
0.1998,1.0000
0.2115,1.0000
0.2206,1.0000
0.2299,1.0000
0.2396,1.0000
0.2509,1.0000
0.2606,1.0000
0.2698,1.0000
0.2797,1.0000
0.2915,1.0000
0.3001,1.0000
0.3108,1.0000
0.3205,1.0000
0.3312,1.0000
0.3397,1.0000
0.3502,1.0000
0.3596,1.0000
0.3711,1.0000
0.3807,1.0000
0.3900,1.0000
0.3997,1.0000
0.4111,1.0000
0.4212,1.0000
0.4303,1.0000
0.4401,1.0000
0.4510,1.0000
0.4600,1.0000
0.4697,1.0000
0.4801,1.0000
0.4909,1.0000
0.5002,1.0000
0.5103,1.0000
0.5197,1.0000
0.5314,1.0000
0.5405,1.0000
0.5508,1.0000
0.5602,1.0000
0.5698,1.0000
0.5796,1.0000
0.5893,1.0000
0.5993,1.0000
0.6095,1.0000
0.6216,1.0000
0.6298,1.0000
0.6404,1.0000
0.6509,1.0000
0.6600,1.0000
0.6699,1.0000
0.6805,1.0000
0.6893,1.0000
0.7010,1.0000
0.7100,1.0000
0.7207,1.0000
0.7304,1.0000
0.7397,1.0000
0.7496,1.0000
0.7611,1.0000
0.7698,1.0000
0.7796,1.0000
0.7894,1.0000
0.8010,1.0000
0.8106,1.0000
0.8196,1.0000
0.8300,1.0000
0.8420,1.0000
0.8496,1.0000
0.8612,1.0000
0.8695,1.0000
0.8800,1.0000
0.8924,1.0000
0.9011,1.0000
0.9102,1.0000
0.9235,1.0000
0.9303,1.0000
0.9400,1.0000
0.9505,1.0000
0.9622,1.0000
0.9708,1.0000
0.9799,1.0000
0.9899,1.0000
0.9997,1.0000
1.0112,1.0000
1.0207,1.0000
1.0305,1.0000
1.0425,1.0000
1.0509,1.0000
1.0609,1.0000
1.0699,1.0000
1.0802,1.0000
1.0906,1.0000
1.1000,1.0000
1.1098,1.0000
1.1211,1.0000
1.1308,1.0000
1.1399,1.0000
1.1505,1.0000
1.1608,1.0000
1.1707,1.0000
1.1803,1.0000
1.1898,1.0000
1.1998,1.0000
1.2109,1.0000
1.2200,1.0000
1.2300,1.0000
1.2399,1.0000
1.2508,1.0000
1.2602,1.0000
1.2708,1.0000
1.2799,1.0000
1.2908,1.0000
1.2999,1.0000
1.3101,1.0000
1.3198,1.0000
1.3307,1.0000
1.3406,1.0000
1.3501,1.0000
1.3598,1.0000
1.3711,1.0000
1.3804,1.0000
1.3904,1.0000
1.4004,1.0000
1.4111,1.0000
1.4197,1.0000
1.4302,1.0000
1.4402,1.0000
1.4511,1.0000
1.4597,1.0000
1.4700,1.0000
1.4802,1.0000
1.4905,1.0000
1.5008,1.0000
1.5104,1.0000
1.5200,1.0000
1.5318,1.0000
1.5407,1.0000
1.5499,1.0000
1.5604,1.0000
1.5710,1.0000
1.5796,1.0000
1.5897,1.0000
1.6043,1.0000
1.6108,1.0000
1.6197,1.0000
1.6314,1.0000
1.6416,1.0000
1.6507,1.0000
1.6607,1.0000
1.6704,1.0000
1.6829,1.0000
1.6902,1.0000
1.6999,1.0000
1.7096,1.0000
1.7198,1.0000
1.7313,1.0000
1.7399,1.0000
1.7501,1.0000
1.7618,1.0000
1.7696,1.0000
1.7797,1.0000
1.7892,1.0000
1.7994,1.0000
1.8092,1.0000
1.8211,1.0000
1.8303,1.0000
1.8408,1.0000
1.8506,1.0000
1.8601,1.0000
1.8698,1.0000
1.8808,1.0000
1.8895,1.0000
1.8996,1.0000
1.9096,1.0000
1.9212,1.0000
1.9300,1.0000
1.9402,1.0000
1.9504,1.0000
1.9621,1.0000
1.9701,1.0000
1.9803,1.0000
1.9906,1.0000
2.0014,1.0000
2.0107,1.0000
2.0196,1.0000
2.0295,1.0000
2.0419,1.0000
2.0502,1.0000
2.0596,1.0000
2.0697,1.0000
2.0823,1.0000
2.0896,1.0000
2.0998,1.0000
2.1106,1.0000
2.1225,1.0000
2.1293,1.0000
2.1404,1.1000
2.1496,1.1000
2.1621,1.1000
2.1701,1.1000
2.1806,1.2000
2.1897,1.2000
2.1997,1.2000
2.2105,1.2000
2.2202,1.3000
2.2296,1.3000
2.2402,1.3000
2.2495,1.3000
2.2611,1.4000
2.2697,1.4000
2.2797,1.5000
2.2906,1.5000
2.2999,1.5000
2.3098,1.5000
2.3193,1.5000
2.3310,1.5000
2.3400,1.6000
2.3501,1.6000
2.3598,1.6000
2.3704,1.7000
