t_s,zoom_state
0.0099,1.0000
0.0205,1.0000
0.0299,1.0000
0.0407,1.0000
0.0501,1.0000
0.0598,1.0000
0.0695,1.0000
0.0811,1.0000
0.0899,1.0000
0.0994,1.0000
0.1095,1.0000
0.1211,1.0000
0.1297,1.0000
0.1402,1.0000
0.1500,1.0000
0.1610,1.0000
0.1698,1.0000
0.1800,1.0000
0.1896,1.0000
0.2011,1.0000
0.2107,1.0000
0.2198,1.0000
0.2300,1.0000
0.2408,1.0000
0.2500,1.0000
0.2604,1.0000
0.2702,1.0000
0.2805,1.0000
0.2901,1.0000
0.2997,1.0000
0.3110,1.0000
0.3205,1.0000
0.3297,1.0000
0.3401,1.0000
0.3496,1.0000
0.3609,1.0000
0.3706,1.0000
0.3805,1.0000
0.3900,1.0000
0.4029,1.0000
0.4098,1.0000
0.4197,1.0000
0.4297,1.0000
0.4414,1.0000
0.4497,1.0000
0.4597,1.0000
0.4700,1.0000
0.4803,1.0000
0.4904,1.0000
0.5006,1.0000
0.5127,1.0000
0.5201,1.0000
0.5299,1.0000
0.5400,1.0000
0.5527,1.0000
0.5605,1.0000
0.5698,1.0000
0.5795,1.0000
0.5896,1.0000
0.6013,1.0000
0.6096,1.0000
0.6197,1.0000
0.6298,1.0000
0.6404,1.0000
0.6496,1.0000
0.6598,1.0000
0.6696,1.0000
0.6812,1.0000
0.6899,1.0000
0.6997,1.0000
0.7094,1.0000
0.7210,1.0000
0.7301,1.0000
0.7402,1.0000
0.7499,1.0000
0.7605,1.0000
0.7697,1.0000
0.7796,1.0000
0.7901,1.0000
0.8002,1.0000
0.8096,1.0000
0.8197,1.0000
0.8296,1.0000
0.8404,1.0000
0.8499,1.0000
0.8606,1.0000
0.8700,1.0000
0.8795,1.0000
0.8894,1.0000
0.8990,1.0000
0.9106,1.0000
0.9205,1.0000
0.9289,1.0000
0.9392,1.0000
0.9508,1.0000
0.9592,1.0000
0.9695,1.0000
0.9805,1.0000
0.9910,1.0000
0.9990,1.0000
1.0106,1.0000
1.0194,1.0000
1.0311,1.0000
1.0396,1.0000
1.0494,1.0000
1.0593,1.0000
1.0722,1.0000
1.0801,1.0000
1.0898,1.0000
1.1000,1.0000
1.1127,1.0000
1.1196,1.0000
1.1294,1.0000
1.1400,1.0000
1.1508,1.0000
1.1599,1.0000
1.1717,1.0000
1.1795,1.0000
1.1923,1.0000
1.2006,1.0000
1.2104,1.0000
1.2203,1.0000
1.2302,1.0000
1.2407,1.0000
1.2499,1.0000
1.2595,1.0000
1.2726,1.0000
1.2799,1.0000
1.2897,1.0000
1.2997,1.0000
1.3096,1.0000
1.3209,1.0000
1.3310,1.0000
1.3397,1.0000
1.3495,1.0000
1.3611,1.0000
1.3699,1.0000
1.3795,1.0000
1.3897,1.0000
1.4007,1.0000
1.4097,1.0000
1.4198,1.0000
1.4302,1.0000
1.4403,1.0000
1.4499,1.0000
1.4609,1.0000
1.4708,1.0000
1.4811,1.0000
1.4903,1.0000
1.5002,1.0000
1.5098,1.0000
1.5214,1.0000
1.5298,1.0000
1.5396,1.0000
1.5508,1.0000
1.5609,1.0000
1.5698,1.0000
1.5803,1.0000
1.5901,1.0000
1.6004,1.0000
1.6098,1.1000
1.6202,1.1000
1.6297,1.1000
1.6400,1.1000
1.6502,1.1000
1.6598,1.1000
1.6694,1.1000
1.6809,1.1000
1.6901,1.1000
1.7003,1.1000
1.7098,1.1000
1.7198,1.1000
1.7306,1.1000
1.7398,1.1000
1.7519,1.1000
1.7593,1.1000
1.7693,1.1000
1.7796,1.1000
1.7919,1.1000
1.7996,1.1000
1.8113,1.1000
1.8207,1.1000
1.8325,1.1000
1.8402,1.1000
1.8500,1.1000
1.8599,1.1000
1.8698,1.1000
1.8814,1.1000
1.8899,1.1000
1.8994,1.1000
1.9100,1.1000
1.9202,1.1000
1.9300,1.1000
1.9403,1.1000
1.9499,1.1000
1.9604,1.1000
1.9703,1.1000
1.9800,1.1000
1.9897,1.1000
2.0013,1.1000
2.0097,1.1000
2.0195,1.1000
2.0295,1.1000
2.0410,1.1000
2.0499,1.1000
2.0599,1.1000
2.0694,1.1000
2.0794,1.1000
2.0893,1.1000
2.0993,1.1000
2.1093,1.1000
2.1209,1.1000
2.1298,1.1000
2.1404,1.1000
2.1504,1.1000
2.1597,1.1000
2.1702,1.1000
2.1803,1.1000
