t_s,kind,value
0.0057,rate,0.0017
0.0452,rate,0.0150
0.0805,rate,0.0279
0.1203,rate,0.0436
0.1656,rate,0.0631
0.2054,rate,0.0816
0.2459,rate,0.1016
0.2849,rate,0.1222
0.3263,rate,0.1453
0.3643,rate,0.1677
0.4049,rate,0.1928
0.4451,rate,0.2189
0.4806,rate,0.2427
0.5250,rate,0.2738
0.5648,rate,0.3027
0.6007,rate,0.3296
0.6403,rate,0.3601
0.6854,rate,0.3958
0.7244,rate,0.4275
0.7655,rate,0.4614
0.8051,rate,0.4947
0.8445,rate,0.5281
0.8844,rate,0.5622
0.9205,rate,0.5932
0.9655,rate,0.6317
1.0048,rate,0.6651
1.0405,rate,0.6952
1.0804,rate,0.7283
1.1251,rate,0.7644
1.1646,rate,0.7953
1.2002,rate,0.8221
1.2404,rate,0.8510
1.2853,rate,0.8811
1.3203,rate,0.9029
1.3647,rate,0.9280
1.4054,rate,0.9483
1.4455,rate,0.9655
1.4852,rate,0.9793
1.5204,rate,0.9889
1.5649,rate,0.9968
1.6017,rate,0.9998
1.6448,rate,0.9987
1.6847,rate,0.9932
1.7246,rate,0.9829
1.7646,rate,0.9677
1.8049,rate,0.9473
1.8441,rate,0.9222
1.8851,rate,0.8905
1.9248,rate,0.8543
1.9655,rate,0.8115
2.0056,rate,0.7638
2.0453,rate,0.7111
2.0806,rate,0.6597
2.1253,rate,0.5889
2.1604,rate,0.5288
2.2058,rate,0.4456
2.2407,rate,0.3782
2.2804,rate,0.2973
2.3255,rate,0.2020
2.3603,rate,0.1250
2.4003,rate,0.0351
2.4454,rate,-0.0683
2.4856,rate,-0.1611
2.5205,rate,-0.2418
2.5615,rate,-0.3357
2.6002,rate,-0.4224
2.6452,rate,-0.5197
2.6862,rate,-0.6039
2.7256,rate,-0.6804
2.7654,rate,-0.7513
2.8004,rate,-0.8079
2.8456,rate,-0.8717
2.8850,rate,-0.9182
2.9205,rate,-0.9517
2.9646,rate,-0.9815
3.0005,rate,-0.9956
3.0464,rate,-0.9994
3.0846,rate,-0.9899
3.1249,rate,-0.9673
3.1648,rate,-0.9318
3.2009,rate,-0.8885
3.2451,rate,-0.8212
3.2809,rate,-0.7558
3.3255,rate,-0.6613
3.3656,rate,-0.5651
3.4015,rate,-0.4707
3.4454,rate,-0.3460
3.4803,rate,-0.2412
3.5247,rate,-0.1027
3.5646,rate,0.0253
3.6050,rate,0.1557
3.6454,rate,0.2847
3.6850,rate,0.4074
3.7255,rate,0.5268
3.7602,rate,0.6226
3.8003,rate,0.7231
3.8455,rate,0.8213
3.8844,rate,0.8906
3.9243,rate,0.9453
3.9647,rate,0.9821
4.0055,rate,0.9990
4.0444,rate,0.9954
4.0847,rate,0.9707
4.1258,rate,0.9237
4.1655,rate,0.8576
4.2045,rate,0.7739
4.2454,rate,0.6678
4.2813,rate,0.5604
4.3255,rate,0.4129
4.3652,rate,0.2685
4.4012,rate,0.1317
4.4453,rate,-0.0413
4.4802,rate,-0.1787
4.5250,rate,-0.3506
4.5603,rate,-0.4797
4.6008,rate,-0.6165
4.6457,rate,-0.7496
4.6803,rate,-0.8365
4.7204,rate,-0.9158
4.7613,rate,-0.9708
4.8018,rate,-0.9975
4.8456,rate,-0.9934
4.8858,rate,-0.9590
4.9253,rate,-0.8969
4.9618,rate,-0.8155
5.0050,rate,-0.6919
5.0455,rate,-0.5526
5.0845,rate,-0.4004
5.1252,rate,-0.2270
5.1614,rate,-0.0660
5.2052,rate,0.1329
5.2404,rate,0.2907
5.2852,rate,0.4804
5.3251,rate,0.6340
5.3656,rate,0.7683
5.4005,rate,0.8627
5.4402,rate,0.9422
5.4814,rate,0.9895
5.5215,rate,0.9989
5.5603,rate,0.9724
5.6052,rate,0.8986
5.6451,rate,0.7961
5.6844,rate,0.6645
5.7250,rate,0.5009
5.7605,rate,0.3400
5.8053,rate,0.1207
5.8404,rate,-0.0567
5.8848,rate,-0.2790
5.9255,rate,-0.4728
5.9605,rate,-0.6235
6.0008,rate,-0.7727
6.0405,rate,-0.8868
6.0807,rate,-0.9641
6.1208,rate,-0.9984
6.1604,rate,-0.9881
6.2005,rate,-0.9324
6.2449,rate,-0.8200
