t_s,zoom_state
0.0093,3.5000
0.0189,3.5000
0.0295,3.5000
0.0395,3.5000
0.0486,3.5000
0.0591,3.5000
0.0690,3.5000
0.0802,3.5000
0.0892,3.5000
0.0994,3.5000
0.1088,3.5000
0.1200,3.5000
0.1293,3.5000
0.1398,3.5000
0.1497,3.5000
0.1599,3.5000
0.1689,3.5000
0.1789,3.5000
0.1894,3.5000
0.1997,3.5000
0.2085,3.5000
0.2195,3.5000
0.2292,3.5000
0.2398,3.5000
0.2494,3.5000
0.2597,3.5000
0.2696,3.5000
0.2792,3.5000
0.2889,3.5000
0.2990,3.5000
0.3115,3.5000
0.3192,3.5000
0.3309,3.5000
0.3389,3.5000
0.3498,3.5000
0.3586,3.5000
0.3688,3.5000
0.3794,3.5000
0.3898,3.5000
0.3992,3.5000
0.4103,3.5000
0.4188,3.5000
0.4315,3.5000
0.4395,3.5000
0.4498,3.5000
0.4588,3.5000
0.4733,3.5000
0.4803,3.5000
0.4892,3.5000
0.4992,3.5000
0.5131,3.5000
0.5194,3.5000
0.5285,3.5000
0.5391,3.5000
0.5488,3.5000
0.5591,3.5000
0.5694,3.5000
0.5790,3.5000
0.5890,3.5000
0.6004,3.6000
0.6088,3.6000
0.6194,3.6000
0.6292,3.6000
0.6400,3.6000
0.6490,3.6000
0.6591,3.6000
0.6693,3.6000
0.6796,3.6000
0.6893,3.6000
0.6990,3.6000
0.7092,3.6000
0.7188,3.6000
0.7285,3.6000
0.7394,3.6000
0.7488,3.6000
0.7598,3.6000
0.7699,3.6000
0.7789,3.6000
0.7900,3.6000
0.7995,3.6000
0.8088,3.6000
0.8188,3.6000
0.8302,3.6000
0.8388,3.6000
0.8491,3.6000
0.8610,3.6000
0.8699,3.6000
0.8787,3.6000
0.8904,3.7000
0.8990,3.7000
0.9088,3.7000
0.9202,3.7000
0.9291,3.7000
0.9390,3.7000
0.9488,3.7000
0.9598,3.7000
0.9702,3.7000
0.9799,3.7000
0.9895,3.7000
0.9990,3.7000
1.0098,3.7000
1.0200,3.7000
1.0291,3.7000
1.0402,3.7000
1.0492,3.7000
1.0590,3.7000
1.0706,3.7000
1.0801,3.7000
1.0899,3.8000
1.0996,3.8000
1.1102,3.8000
1.1194,3.8000
1.1288,3.8000
1.1389,3.8000
1.1527,3.8000
1.1590,3.8000
1.1686,3.8000
1.1796,3.8000
1.1889,3.8000
1.2000,3.9000
1.2104,3.9000
1.2194,3.9000
1.2297,3.9000
1.2402,3.9000
1.2492,3.9000
1.2590,3.9000
1.2727,3.9000
1.2797,3.9000
1.2892,3.9000
1.2994,3.9000
1.3094,3.9000
1.3200,3.9000
1.3289,3.9000
1.3393,3.9000
1.3520,3.9000
1.3591,3.9000
1.3695,3.9000
1.3791,4.0000
1.3888,4.0000
1.3997,4.0000
1.4089,4.0000
