t_s,kind,value
0.0002,rate,1.0000
0.0466,rate,1.0000
0.0839,rate,1.0000
0.1265,rate,1.0000
0.1658,rate,1.0000
0.2056,rate,1.0000
0.2458,rate,1.0000
0.2859,rate,1.0000
0.3259,rate,1.0000
0.3661,rate,1.0000
0.4059,rate,1.0000
0.4471,rate,1.0000
0.4852,rate,1.0000
0.5227,rate,1.0000
0.5655,rate,1.0000
0.6056,rate,1.0000
0.6427,rate,1.0000
0.6858,rate,1.0000
0.7263,rate,1.0000
0.7652,rate,1.0000
0.8055,rate,1.0000
0.8466,rate,1.0000
0.8861,rate,1.0000
0.9258,rate,1.0000
0.9661,rate,1.0000
1.0031,rate,1.0000
1.0460,rate,1.0000
1.0861,rate,1.0000
1.1256,rate,1.0000
1.1653,rate,1.0000
1.2080,rate,1.0000
1.2474,rate,1.0000
1.2852,rate,1.0000
1.3260,rate,1.0000
1.3656,rate,1.0000
1.4058,rate,1.0000
1.4450,rate,1.0000
1.4868,rate,1.0000
1.5275,rate,1.0000
1.5652,rate,1.0000
1.6054,rate,1.0000
1.6476,rate,1.0000
1.6857,rate,1.0000
1.7269,rate,1.0000
1.7647,rate,1.0000
1.8062,rate,1.0000
1.8455,rate,1.0000
1.8849,rate,1.0000
1.9256,rate,1.0000
1.9656,rate,1.0000
2.0052,rate,1.0000
2.0453,rate,1.0000
2.0867,rate,1.0000
2.1256,rate,1.0000
2.1667,rate,1.0000
2.2054,rate,1.0000
2.2449,rate,1.0000
2.2857,rate,1.0000
2.3259,rate,1.0000
2.3653,rate,1.0000
2.4058,rate,1.0000
2.4463,rate,1.0000
2.4853,rate,1.0000
2.5231,rate,1.0000
2.5648,rate,1.0000
2.6060,rate,1.0000
2.6459,rate,1.0000
2.6855,rate,1.0000
2.7255,rate,1.0000
2.7657,rate,1.0000
2.8058,rate,1.0000
2.8451,rate,1.0000
2.8850,rate,1.0000
2.9256,rate,1.0000
2.9654,rate,1.0000
3.0023,rate,1.0000
3.0454,rate,1.0000
3.0866,rate,1.0000
3.1223,rate,1.0000
3.1654,rate,1.0000
3.2048,rate,1.0000
3.2505,rate,1.0000
3.2856,rate,1.0000
3.3272,rate,1.0000
3.3655,rate,1.0000
3.4057,rate,1.0000
3.4454,rate,1.0000
3.4852,rate,1.0000
3.5264,rate,1.0000
3.5648,rate,1.0000
3.6058,rate,1.0000
3.6458,rate,1.0000
3.6853,rate,1.0000
3.7261,rate,1.0000
3.7655,rate,1.0000
3.8062,rate,1.0000
3.8453,rate,1.0000
3.8860,rate,1.0000
3.9250,rate,1.0000
3.9654,rate,1.0000
4.0052,rate,1.0000
4.0461,rate,1.0000
4.0873,rate,1.0000
4.1252,rate,1.0000
4.1649,rate,1.0000
4.2060,rate,1.0000
4.2456,rate,1.0000
4.2860,rate,1.0000
4.3252,rate,1.0000
4.3662,rate,1.0000
4.4055,rate,1.0000
4.4460,rate,1.0000
4.4882,rate,1.0000
4.5266,rate,1.0000
4.5661,rate,1.0000
4.6066,rate,1.0000
4.6454,rate,1.0000
4.6850,rate,1.0000
4.7227,rate,1.0000
4.7658,rate,1.0000
4.8097,rate,1.0000
4.8497,rate,1.0000
4.8874,rate,1.0000
4.9255,rate,1.0000
4.9621,rate,1.0000
5.0054,rate,1.0000
5.0055,rate,0.0000
6.7602,rate,0.0000
