t_s,zoom_state
0.0109,1.0000
0.0199,1.0000
0.0295,1.0000
0.0405,1.0000
0.0507,1.0000
0.0598,1.0000
0.0711,1.0000
0.0804,1.0000
0.0904,1.0000
0.0996,1.0000
0.1101,1.0000
0.1206,1.0000
0.1309,1.0000
0.1403,1.0000
0.1500,1.0000
0.1598,1.0000
0.1702,1.1000
0.1797,1.1000
0.1901,1.1000
0.1997,1.1000
0.2105,1.1000
0.2196,1.1000
0.2300,1.1000
0.2399,1.1000
0.2502,1.1000
0.2600,1.2000
0.2708,1.2000
0.2801,1.2000
0.2903,1.2000
0.3000,1.2000
0.3095,1.2000
0.3200,1.2000
0.3304,1.2000
0.3399,1.2000
0.3500,1.2000
0.3603,1.2000
0.3727,1.2000
0.3795,1.2000
0.3902,1.3000
0.4001,1.3000
0.4099,1.3000
0.4196,1.3000
0.4297,1.3000
0.4413,1.3000
0.4500,1.3000
0.4595,1.4000
0.4695,1.4000
0.4794,1.4000
0.4901,1.4000
0.5006,1.4000
0.5096,1.4000
0.5223,1.4000
0.5294,1.4000
0.5393,1.4000
0.5498,1.4000
0.5595,1.4000
0.5695,1.4000
0.5795,1.4000
0.5896,1.5000
0.5996,1.5000
0.6099,1.5000
0.6198,1.5000
0.6292,1.5000
0.6424,1.5000
0.6495,1.5000
0.6588,1.5000
0.6692,1.6000
0.6799,1.6000
0.6905,1.6000
0.6994,1.6000
0.7098,1.6000
0.7199,1.6000
0.7301,1.6000
0.7400,1.6000
0.7498,1.6000
0.7595,1.6000
0.7702,1.6000
0.7805,1.6000
0.7898,1.7000
0.7997,1.7000
0.8110,1.7000
0.8204,1.7000
0.8296,1.7000
0.8407,1.7000
0.8515,1.7000
0.8604,1.8000
0.8707,1.8000
0.8801,1.8000
0.8916,1.8000
0.9000,1.8000
0.9101,1.8000
0.9198,1.8000
0.9302,1.8000
0.9405,1.8000
0.9497,1.8000
0.9602,1.8000
0.9729,1.8000
0.9798,1.9000
0.9904,1.9000
1.0027,1.9000
1.0098,1.9000
1.0197,1.9000
1.0298,1.9000
1.0396,1.9000
