t_s,zoom_state
0.0101,3.5000
0.0196,3.5000
0.0303,3.5000
0.0394,3.5000
0.0501,3.5000
0.0594,3.5000
0.0716,3.5000
0.0796,3.5000
0.0895,3.5000
0.0995,3.5000
0.1113,3.5000
0.1203,3.5000
0.1294,3.5000
0.1399,3.5000
0.1511,3.5000
0.1599,3.5000
0.1698,3.5000
0.1796,3.5000
0.1920,3.5000
0.1994,3.5000
0.2097,3.5000
0.2197,3.5000
0.2301,3.5000
0.2403,3.5000
0.2498,3.5000
0.2597,3.5000
0.2720,3.5000
0.2796,3.5000
0.2895,3.5000
0.3001,3.5000
0.3103,3.5000
0.3192,3.5000
0.3300,3.5000
0.3397,3.5000
0.3505,3.5000
0.3594,3.5000
0.3698,3.5000
0.3801,3.5000
0.3903,3.5000
0.3995,3.5000
0.4096,3.6000
0.4196,3.6000
0.4304,3.6000
0.4402,3.6000
0.4495,3.6000
0.4603,3.6000
0.4708,3.6000
0.4798,3.6000
0.4900,3.6000
0.4997,3.6000
0.5095,3.6000
0.5212,3.6000
0.5296,3.6000
0.5395,3.6000
0.5503,3.6000
0.5598,3.6000
0.5694,3.6000
0.5794,3.6000
0.5906,3.7000
0.5996,3.7000
0.6095,3.7000
0.6198,3.7000
0.6305,3.7000
0.6395,3.7000
0.6498,3.7000
0.6596,3.7000
0.6706,3.7000
0.6796,3.7000
0.6894,3.7000
0.6995,3.7000
0.7099,3.8000
0.7205,3.8000
0.7297,3.8000
0.7395,3.8000
0.7502,3.8000
0.7594,3.8000
0.7693,3.8000
0.7796,3.8000
0.7903,3.8000
0.7994,3.8000
0.8098,3.8000
0.8195,3.8000
0.8308,3.8000
0.8396,3.9000
0.8499,3.9000
0.8598,3.9000
0.8696,3.9000
0.8796,3.9000
0.8905,3.9000
0.8998,3.9000
0.9109,3.9000
0.9194,3.9000
0.9296,3.9000
0.9401,3.9000
0.9496,3.9000
0.9607,4.0000
0.9702,4.0000
0.9795,4.0000
0.9905,4.0000
0.9998,4.0000
1.0094,4.0000
1.0193,4.0000
1.0305,4.0000
1.0400,4.1000
1.0497,4.1000
1.0595,4.1000
1.0695,4.1000
1.0803,4.1000
1.0895,4.1000
1.0997,4.1000
1.1101,4.1000
1.1196,4.1000
1.1295,4.1000
1.1396,4.1000
1.1494,4.1000
1.1605,4.1000
1.1699,4.2000
1.1796,4.2000
1.1910,4.2000
1.1998,4.2000
1.2100,4.2000
1.2196,4.2000
1.2303,4.3000
1.2391,4.3000
1.2495,4.3000
1.2598,4.3000
1.2694,4.3000
1.2807,4.3000
1.2899,4.3000
1.2997,4.3000
1.3105,4.3000
1.3200,4.3000
1.3297,4.3000
1.3398,4.3000
1.3496,4.4000
1.3604,4.4000
1.3695,4.4000
1.3792,4.4000
1.3905,4.4000
1.3994,4.4000
1.4094,4.4000
1.4200,4.4000
1.4307,4.4000
1.4398,4.4000
1.4496,4.4000
1.4602,4.4000
1.4694,4.4000
1.4804,4.5000
1.4896,4.5000
1.4994,4.5000
1.5103,4.5000
1.5194,4.5000
1.5294,4.5000
1.5397,4.5000
1.5508,4.5000
1.5598,4.5000
1.5699,4.5000
1.5798,4.5000
1.5898,4.5000
1.6001,4.6000
1.6102,4.6000
1.6195,4.6000
1.6303,4.6000
1.6393,4.6000
1.6497,4.6000
1.6600,4.6000
1.6709,4.6000
1.6808,4.6000
1.6901,4.6000
1.7001,4.6000
1.7097,4.6000
1.7201,4.6000
1.7298,4.7000
1.7412,4.7000
1.7506,4.7000
1.7599,4.7000
1.7709,4.7000
1.7803,4.7000
1.7903,4.7000
1.7999,4.7000
1.8099,4.7000
1.8196,4.7000
1.8296,4.7000
1.8430,4.7000
1.8500,4.7000
1.8596,4.7000
1.8712,4.7000
1.8797,4.7000
1.8896,4.7000
1.9012,4.7000
1.9108,4.7000
1.9196,4.7000
1.9295,4.7000
1.9403,4.7000
1.9504,4.8000
1.9598,4.8000
1.9702,4.8000
1.9796,4.8000
1.9909,4.8000
1.9996,4.8000
2.0101,4.8000
2.0197,4.8000
2.0309,4.8000
2.0396,4.8000
2.0496,4.8000
2.0619,4.8000
2.0702,4.8000
2.0819,4.8000
2.0898,4.8000
2.0995,4.8000
2.1108,4.8000
2.1199,4.8000
2.1297,4.8000
2.1396,4.8000
2.1508,4.8000
2.1602,4.8000
2.1699,4.8000
2.1798,4.8000
2.1906,4.8000
2.1994,4.8000
2.2094,4.8000
2.2198,4.8000
2.2305,4.8000
2.2395,4.8000
2.2497,4.8000
2.2597,4.8000
2.2715,4.8000
2.2807,4.8000
2.2901,4.8000
2.2998,4.7000
2.3114,4.7000
2.3198,4.7000
2.3296,4.7000
2.3395,4.7000
2.3506,4.7000
2.3602,4.7000
2.3695,4.7000
2.3800,4.7000
2.3915,4.7000
2.4002,4.7000
2.4099,4.7000
2.4205,4.7000
2.4294,4.7000
2.4404,4.7000
2.4500,4.7000
2.4617,4.7000
2.4706,4.7000
2.4797,4.7000
2.4895,4.7000
2.5007,4.7000
2.5104,4.7000
2.5201,4.7000
2.5296,4.7000
2.5401,4.7000
2.5504,4.7000
2.5596,4.7000
2.5711,4.6000
2.5796,4.6000
2.5909,4.6000
2.5996,4.6000
2.6101,4.6000
2.6205,4.6000
2.6332,4.6000
2.6399,4.6000
2.6501,4.6000
2.6602,4.6000
2.6697,4.5000
2.6803,4.5000
2.6899,4.5000
2.7003,4.5000
2.7109,4.5000
2.7201,4.5000
2.7295,4.5000
2.7403,4.5000
2.7507,4.5000
2.7602,4.5000
2.7701,4.5000
2.7797,4.5000
2.7901,4.5000
2.8006,4.4000
2.8101,4.4000
2.8201,4.4000
2.8297,4.4000
2.8402,4.4000
2.8498,4.4000
2.8606,4.4000
2.8719,4.4000
2.8801,4.4000
2.8904,4.4000
2.9003,4.4000
2.9100,4.4000
2.9210,4.3000
2.9298,4.3000
2.9397,4.3000
2.9505,4.3000
2.9604,4.3000
2.9705,4.3000
2.9790,4.3000
2.9909,4.3000
3.0004,4.3000
3.0099,4.3000
3.0209,4.3000
3.0304,4.3000
3.0399,4.2000
3.0499,4.2000
3.0601,4.2000
3.0701,4.2000
3.0794,4.2000
3.0897,4.2000
3.0993,4.2000
3.1105,4.2000
3.1208,4.2000
3.1294,4.1000
3.1400,4.1000
3.1520,4.1000
3.1605,4.1000
3.1699,4.1000
3.1801,4.1000
3.1904,4.1000
3.1992,4.1000
3.2097,4.1000
3.2203,4.1000
3.2304,4.1000
3.2400,4.1000
3.2497,4.0000
3.2600,4.0000
3.2695,4.0000
3.2818,4.0000
3.2895,4.0000
3.2992,4.0000
3.3105,3.9000
3.3195,3.9000
3.3296,3.9000
3.3402,3.9000
3.3510,3.9000
