t_s,kind,value
0.0056,rate,0.1014
0.0454,rate,0.8484
0.0803,rate,1.4942
0.1210,rate,2.2210
0.1606,rate,2.8980
0.2002,rate,3.5277
0.2411,rate,4.1195
0.2807,rate,4.6292
0.3211,rate,5.0747
0.3605,rate,5.4305
0.4055,rate,5.7364
0.4407,rate,5.8939
0.4852,rate,5.9933
0.5207,rate,5.9875
0.5607,rate,5.8918
0.6009,rate,5.7023
0.6405,rate,5.4264
0.6806,rate,5.0613
0.7206,rate,4.6188
0.7603,rate,4.1054
0.8005,rate,3.5228
0.8450,rate,2.8117
0.8851,rate,2.1227
0.9203,rate,1.4897
0.9604,rate,0.7471
1.0003,rate,-0.0019
1.0406,rate,-0.7599
1.0804,rate,-1.4968
1.1249,rate,-2.2912
1.1604,rate,-2.8947
1.2005,rate,-3.5310
1.2406,rate,-4.1127
1.2802,rate,-4.6233
1.3205,rate,-5.0690
1.3653,rate,-5.4687
1.4053,rate,-5.7352
1.4450,rate,-5.9102
1.4855,rate,-5.9936
1.5203,rate,-5.9880
1.5607,rate,-5.8919
1.6056,rate,-5.6742
1.6405,rate,-5.4270
1.6805,rate,-5.0628
1.7205,rate,-4.6197
1.7603,rate,-4.1060
1.8055,rate,-3.4457
1.8409,rate,-2.8798
1.8806,rate,-2.2011
1.9204,rate,-1.4883
1.9604,rate,-0.7473
2.0007,rate,0.0096
2.0406,rate,0.7600
2.0850,rate,1.5782
2.1206,rate,2.2159
2.1667,rate,2.9912
2.2061,rate,3.6151
2.2410,rate,4.1162
2.2848,rate,4.6769
2.3205,rate,5.0687
2.3615,rate,5.4386
2.4054,rate,5.7358
2.4454,rate,5.9113
2.4806,rate,5.9886
2.5205,rate,5.9878
2.5654,rate,5.8750
2.6003,rate,5.7054
2.6404,rate,5.4266
2.6852,rate,5.0145
2.7203,rate,4.6222
2.7604,rate,4.1042
2.8013,rate,3.5098
2.8455,rate,2.8023
2.8806,rate,2.2008
2.9204,rate,1.4871
2.9606,rate,0.7430
3.0005,rate,-0.0037
3.0453,rate,-0.8471
