t_s,zoom_state
0.0089,3.5000
0.0195,3.5000
0.0290,3.5000
0.0397,3.5000
0.0490,3.5000
0.0592,3.5000
0.0689,3.5000
0.0800,3.5000
0.0893,3.5000
0.0992,3.5000
0.1088,3.5000
0.1206,3.5000
0.1292,3.5000
0.1395,3.5000
0.1494,3.5000
0.1604,3.5000
0.1693,3.5000
0.1793,3.5000
0.1891,3.5000
0.2009,3.5000
0.2089,3.5000
0.2195,3.5000
0.2291,3.5000
0.2408,3.5000
0.2491,3.5000
0.2597,3.5000
0.2696,3.5000
0.2804,3.5000
0.2891,3.5000
0.2991,3.5000
0.3090,3.5000
0.3207,3.5000
0.3292,3.5000
0.3396,3.5000
0.3492,3.5000
0.3601,3.5000
0.3692,3.5000
0.3792,3.5000
0.3891,3.5000
0.3999,3.5000
0.4091,3.5000
0.4193,3.5000
0.4292,3.5000
0.4416,3.5000
0.4491,3.5000
0.4591,3.5000
0.4693,3.5000
0.4796,3.5000
0.4888,3.5000
0.4997,3.5000
0.5092,3.5000
0.5205,3.5000
0.5294,3.5000
0.5398,3.5000
0.5492,3.5000
0.5605,3.5000
0.5701,3.5000
0.5792,3.5000
0.5897,3.5000
0.6006,3.5000
0.6093,3.5000
0.6200,3.5000
0.6299,3.5000
0.6403,3.5000
0.6492,3.5000
0.6596,3.5000
0.6693,3.5000
0.6804,3.5000
0.6897,3.5000
0.6997,3.5000
0.7094,3.5000
0.7203,3.5000
0.7295,3.5000
0.7400,3.6000
0.7518,3.6000
0.7601,3.6000
0.7693,3.6000
0.7793,3.7000
0.7897,3.7000
0.8002,3.7000
0.8093,3.7000
0.8194,3.8000
0.8294,3.8000
0.8392,3.9000
0.8500,3.9000
0.8603,3.9000
0.8695,3.9000
0.8794,4.0000
0.8895,4.0000
0.8996,4.0000
0.9102,4.0000
0.9201,4.1000
0.9303,4.1000
0.9392,4.1000
0.9499,4.1000
0.9602,4.2000
0.9692,4.2000
0.9796,4.2000
0.9892,4.2000
1.0001,4.2000
1.0094,4.3000
1.0191,4.3000
1.0291,4.3000
1.0404,4.3000
1.0494,4.4000
1.0592,4.4000
1.0691,4.4000
1.0802,4.4000
1.0891,4.5000
1.0992,4.5000
1.1098,4.5000
1.1194,4.5000
1.1286,4.6000
1.1398,4.6000
1.1490,4.6000
1.1602,4.6000
1.1694,4.6000
1.1792,4.6000
1.1904,4.6000
1.2002,4.6000
1.2096,4.6000
1.2194,4.6000
1.2297,4.6000
1.2403,4.6000
1.2501,4.6000
1.2593,4.6000
1.2712,4.6000
1.2800,4.6000
1.2895,4.6000
1.2994,4.6000
1.3092,4.6000
1.3202,4.6000
1.3296,4.6000
1.3399,4.6000
1.3518,4.6000
1.3596,4.6000
1.3693,4.6000
1.3791,4.6000
1.3892,4.6000
1.3996,4.6000
1.4089,4.6000
1.4192,4.6000
1.4295,4.6000
1.4394,4.6000
1.4492,4.6000
1.4604,4.6000
1.4697,4.6000
1.4798,4.6000
1.4901,4.6000
1.4992,4.6000
1.5090,4.6000
1.5201,4.6000
1.5290,4.6000
1.5393,4.6000
1.5494,4.6000
1.5605,4.6000
1.5691,4.6000
1.5800,4.6000
1.5909,4.6000
1.5999,4.6000
1.6095,4.6000
1.6198,4.6000
1.6292,4.6000
1.6402,4.6000
1.6496,4.6000
1.6595,4.6000
1.6690,4.6000
1.6802,4.6000
1.6905,4.6000
1.7000,4.6000
1.7097,4.6000
