step_id,axis,cmd_to_deg,t_cmd_ros_s,t_end_ros_s,t_cmd_wall_s,s0_roll,s0_pitch,s0_yaw
0,yaw,2.0,1776189343.0185618,1776189345.5189521,1776189343.0186188,0.0,-0.0,-1.7
1,yaw,-2.0,1776189348.0284379,1776189350.5295208,1776189348.0284874,0.0,-0.0,-0.6
2,yaw,10.0,1776189353.0384512,1776189355.539281,1776189353.0385053,0.0,-0.0,-0.3
3,yaw,-10.0,1776189358.0488236,1776189360.5493023,1776189358.0488799,0.0,-0.0,-0.9
4,yaw,30.0,1776189363.0584557,1776189365.5595112,1776189363.0585093,0.0,-0.0,-0.2
5,yaw,-30.0,1776189368.0685837,1776189370.5694427,1776189368.0686333,0.0,-0.0,-1.4
6,yaw,60.0,1776189373.0784256,1776189375.5791569,1776189373.0784762,0.0,-0.0,0.0
7,yaw,-60.0,1776189378.0884752,1776189380.5893145,1776189378.088527,0.0,-0.0,-0.6
8,pitch,2.0,1776189383.0984044,1776189385.5992374,1776189383.0984519,0.0,-0.0,2.2
9,pitch,-2.0,1776189388.1083856,1776189390.609285,1776189388.1084368,0.0,-0.0,-0.5
10,pitch,10.0,1776189393.1186366,1776189395.6193244,1776189393.1186883,0.0,-0.0,-0.3
11,pitch,-10.0,1776189398.1286242,1776189400.6293452,1776189398.1286762,0.0,-0.0,-0.2
12,pitch,30.0,1776189403.1384242,1776189405.6392448,1776189403.1384718,0.0,-0.0,-0.5
13,pitch,60.0,1776189408.1486733,1776189410.6492786,1776189408.1487272,0.0,-0.0,-0.2
