step_id,axis,u_cmd,t_cmd_ros_s,t_end_ros_s,t_cmd_wall_s,s0_roll,s0_pitch,s0_yaw,railed
0,yaw,0.1,1776262359.819228,1776262362.8196018,1776262359.8192797,0.0,-0.0,-102.1,0
1,yaw,-0.1,1776262367.279319,1776262370.2849963,1776262367.2793686,0.0,-0.0,105.2,0
2,yaw,0.25,1776262374.7482615,1776262377.7485461,1776262374.7483134,0.0,-0.0,-102.4,0
3,yaw,-0.25,1776262382.2096286,1776262385.2149377,1776262382.2096798,0.0,-0.0,103.3,0
4,yaw,0.5,1776262389.6783307,1776262392.6793382,1776262389.678381,0.0,-0.0,-101.7,0
5,yaw,-0.5,1776262397.1393814,1776262400.1450174,1776262397.1394308,0.0,-0.0,102.4,0
6,yaw,0.75,1776262404.6083224,1776262407.609286,1776262404.608376,0.0,-0.0,-101.9,0
7,yaw,-0.75,1776262412.078287,1776262415.078517,1776262412.0783346,0.0,-0.0,102.5,0
8,yaw,1.0,1776262419.5391102,1776262422.5393891,1776262419.53916,0.0,-0.0,-99.7,0
9,yaw,-1.0,1776262426.999369,1776262430.0050886,1776262426.99942,0.0,-0.0,100.6,0
10,pitch,0.1,1776262434.4594579,1776262437.4598892,1776262434.4595032,0.0,-18.0,1.8,0
11,pitch,-0.1,1776262441.9283116,1776262444.9287846,1776262441.928361,0.0,30.0,0.0,0
12,pitch,0.25,1776262449.3892741,1776262452.3897016,1776262449.389323,0.0,-17.9,0.0,0
13,pitch,-0.25,1776262456.8583667,1776262459.6585457,1776262456.8584144,0.0,30.0,0.1,1
14,pitch,0.5,1776262464.1284251,1776262467.0286362,1776262464.1284745,0.0,-17.9,0.2,1
15,pitch,-0.5,1776262471.489342,1776262472.948504,1776262471.4893904,0.0,30.0,0.3,1
16,pitch,0.75,1776262477.4091737,1776262479.378497,1776262477.4092245,0.0,-17.9,-0.2,1
17,pitch,-0.75,1776262483.8386335,1776262484.8685122,1776262483.8386803,0.0,30.0,0.3,1
18,pitch,1.0,1776262489.3291347,1776262490.8487659,1776262489.329184,0.0,-17.9,-0.1,1
19,pitch,-1.0,1776262495.3091228,1776262496.0987334,1776262495.3091717,0.0,30.0,0.2,1
