step_id,axis,u_cmd,n_samples,w_ss_deg_s,w_peak_deg_s,rise_time_s,latency_s,railed
0,yaw,0.1,301,7.3426666666666645,7.7,0.22994327545166016,0.09015035629272461,0
1,yaw,-0.1,301,-6.987999999999999,-7.3,0.2302112579345703,0.10002565383911133,0
2,yaw,0.25,300,18.34,18.7,0.2198808193206787,0.0711967945098877,0
3,yaw,-0.25,301,-18.032000000000004,-18.3,0.23001909255981445,0.05966043472290039,0
4,yaw,0.5,300,36.850666666666655,37.1,0.2299356460571289,0.05110597610473633,0
5,yaw,-0.5,300,-36.518666666666654,-36.8,0.22005939483642578,0.07985806465148926,0
6,yaw,0.75,300,55.32800000000003,55.6,0.22020196914672852,0.04107999801635742,0
7,yaw,-0.75,300,-54.837333333333326,-55.2,0.2101743221282959,0.06094980239868164,0
8,yaw,1.0,300,73.75733333333336,74.2,0.2204134464263916,0.06015205383300781,0
9,yaw,-1.0,300,-73.20133333333331,-73.8,0.2199702262878418,0.049855947494506836,0
10,pitch,0.1,300,7.034666666666664,7.4,0.21992945671081543,0.0998375415802002,0
11,pitch,-0.1,300,-7.557333333333334,-7.9,0.18024039268493652,0.07095718383789062,0
12,pitch,0.25,300,18.20133333333333,18.6,0.2198338508605957,0.07013678550720215,0
13,pitch,-0.25,280,-18.65999999999999,-19.1,0.22006893157958984,0.08100271224975586,1
14,pitch,0.5,290,36.819444444444464,37.3,0.23020195960998535,0.06079983711242676,1
15,pitch,-0.5,145,-37.32777777777777,-37.6,0.2200300693511963,0.04008841514587402,1
16,pitch,0.75,197,55.45714285714287,56.0,0.2206873893737793,0.0501704216003418,1
17,pitch,-0.75,103,-55.916000000000004,-56.3,0.22024321556091309,0.060604095458984375,1
18,pitch,1.0,152,74.11578947368423,74.7,0.22022485733032227,0.05013132095336914,1
19,pitch,-1.0,79,-74.44210526315793,-74.7,0.22014737129211426,0.04008293151855469,1
