step_id,axis,u_cmd,n_samples,w_ss_deg_s,w_peak_deg_s,rise_time_s,latency_s,railed
0,yaw,0.1,301,6.990666666666668,7.3,0.2100057601928711,0.08002591133117676,0
1,yaw,-0.1,300,-7.277333333333331,-7.7,0.24014592170715332,0.10097074508666992,0
2,yaw,0.25,300,18.020000000000007,18.4,0.22004032135009766,0.059921979904174805,0
3,yaw,-0.25,299,-18.379729729729732,-19.2,0.18995046615600586,0.07027864456176758,0
4,yaw,0.5,300,36.502666666666656,36.8,0.21930527687072754,0.06999945640563965,0
5,yaw,-0.5,300,-36.71733333333334,-37.8,0.22000336647033691,0.06979012489318848,0
6,yaw,0.75,301,54.82133333333335,55.6,0.22971248626708984,0.05024433135986328,0
7,yaw,-0.75,300,-55.126666666666644,-55.8,0.22000741958618164,0.07087278366088867,0
8,yaw,1.0,300,73.24133333333334,74.5,0.22009515762329102,0.060942888259887695,0
9,yaw,-1.0,300,-73.53466666666671,-74.4,0.22017598152160645,0.04992961883544922,0
10,pitch,0.1,300,6.982666666666668,7.3,0.15992379188537598,0.09001541137695312,0
11,pitch,-0.1,301,-7.566666666666668,-8.1,0.24970626831054688,0.08996868133544922,0
12,pitch,0.25,300,18.134666666666668,18.5,0.2200148105621338,0.07100343704223633,0
13,pitch,-0.25,279,-18.63188405797102,-19.1,0.21966552734375,0.07052421569824219,1
14,pitch,0.5,290,36.79305555555555,37.3,0.22025299072265625,0.06006479263305664,1
15,pitch,-0.5,147,-37.25,-37.7,0.23004794120788574,0.050968170166015625,1
16,pitch,0.75,197,55.41632653061227,55.8,0.2500474452972412,0.049909114837646484,1
17,pitch,-0.75,102,-55.908,-56.4,0.23004913330078125,0.04038286209106445,1
18,pitch,1.0,154,74.10789473684208,74.6,0.22002887725830078,0.060204505920410156,1
19,pitch,-1.0,80,-74.44999999999999,-75.0,0.23028898239135742,0.05095076560974121,1
