sample_index,t_received,t_display,latency_ms
0,1776348159.665537,1776348159.416000,249.537
1,1776348159.718879,1776348159.444000,274.879
2,1776348159.827510,1776348159.590000,237.510
3,1776348159.881053,1776348159.620000,261.054
4,1776348159.935061,1776348159.651000,284.061
5,1776348160.050285,1776348159.817000,233.285
6,1776348160.110744,1776348159.848000,262.744
7,1776348160.221436,1776348159.971000,250.436
8,1776348160.273431,1776348159.998000,275.431
9,1776348160.331426,1776348160.077000,254.426
10,1776348160.440500,1776348160.182000,258.500
11,1776348160.498641,1776348160.248000,250.642
12,1776348160.556573,1776348160.263000,293.573
13,1776348160.668020,1776348160.410000,258.020
14,1776348160.722025,1776348160.441000,281.025
15,1776348160.825608,1776348160.580000,245.608
16,1776348160.882142,1776348160.608000,274.142
17,1776348160.935945,1776348160.640000,295.945
18,1776348161.044803,1776348160.781000,263.803
19,1776348161.102688,1776348160.853000,249.688
20,1776348161.160941,1776348160.867000,293.941
21,1776348161.212627,1776348160.978000,234.627
22,1776348161.264419,1776348161.020000,244.419
23,1776348161.314440,1776348161.046000,268.440
24,1776348161.364984,1776348161.073000,291.984
25,1776348161.415995,1776348161.172000,243.995
26,1776348161.466875,1776348161.218000,248.875
27,1776348161.517876,1776348161.251000,266.876
28,1776348161.620459,1776348161.382000,238.459
29,1776348161.671736,1776348161.408000,263.736
30,1776348161.723377,1776348161.451000,272.377
31,1776348161.828730,1776348161.581000,247.730
32,1776348161.882458,1776348161.612000,270.458
33,1776348161.933482,1776348161.670000,263.482
34,1776348162.036049,1776348161.771000,265.049
35,1776348162.088716,1776348161.816000,272.716
36,1776348162.139467,1776348161.843000,296.467
37,1776348162.240474,1776348161.987000,253.474
38,1776348162.291886,1776348162.043000,248.886
39,1776348162.342901,1776348162.072000,270.900
40,1776348162.447740,1776348162.176000,271.740
41,1776348162.498763,1776348162.233000,265.763
42,1776348162.549523,1776348162.281000,268.523
43,1776348162.651748,1776348162.412000,239.748
44,1776348162.715127,1776348162.439000,276.127
45,1776348162.817574,1776348162.573000,244.574
46,1776348162.869723,1776348162.617000,252.723
47,1776348162.920513,1776348162.645000,275.513
48,1776348163.021736,1776348162.772000,249.736
49,1776348163.073754,1776348162.816000,257.754
50,1776348163.125488,1776348162.876000,249.488
51,1776348163.230901,1776348162.983000,247.901
52,1776348163.281580,1776348163.010000,271.580
53,1776348163.331984,1776348163.040000,291.984
54,1776348163.486637,1776348163.249000,237.637
55,1776348163.538070,1776348163.279000,259.070
56,1776348163.690340,1776348163.450000,240.340
57,1776348163.740980,1776348163.481000,259.980
58,1776348163.894636,1776348163.642000,252.636
59,1776348163.945455,1776348163.683000,262.455
60,1776348164.050199,1776348163.810000,240.199
61,1776348164.103120,1776348163.851000,252.120
62,1776348164.153932,1776348163.878000,275.932
63,1776348164.255875,1776348164.006000,249.875
64,1776348164.307665,1776348164.050000,257.665
65,1776348164.359325,1776348164.077000,282.325
66,1776348164.411279,1776348164.180000,231.279
67,1776348164.471523,1776348164.209000,262.522
68,1776348164.532084,1776348164.279000,253.084
69,1776348164.691899,1776348164.441000,250.899
70,1776348164.744164,1776348164.481000,263.164
71,1776348164.854568,1776348164.598000,256.567
72,1776348164.907446,1776348164.650000,257.446
73,1776348164.961815,1776348164.677000,284.815
74,1776348165.066265,1776348164.811000,255.265
75,1776348165.120548,1776348164.855000,265.548
76,1776348165.277826,1776348165.003000,274.826
77,1776348165.329734,1776348165.082000,247.734
78,1776348165.495203,1776348165.240000,255.203
79,1776348165.546231,1776348165.277000,269.231
80,1776348165.698740,1776348165.451000,247.740
81,1776348165.749162,1776348165.490000,259.162
82,1776348165.850942,1776348165.617000,233.942
83,1776348165.901480,1776348165.649000,252.480
84,1776348165.952126,1776348165.679000,273.126
85,1776348166.054444,1776348165.815000,239.444
86,1776348166.105188,1776348165.845000,260.188
87,1776348166.156239,1776348165.876000,280.239
88,1776348166.206400,1776348165.985000,221.400
89,1776348166.257126,1776348166.015000,242.126
90,1776348166.307831,1776348166.044000,263.831
91,1776348166.359707,1776348166.087000,272.707
92,1776348166.462103,1776348166.216000,246.103
93,1776348166.513199,1776348166.244000,269.199
94,1776348166.563680,1776348166.290000,273.680
95,1776348166.666163,1776348166.408000,258.163
96,1776348166.717484,1776348166.438000,279.484
97,1776348166.768062,1776348166.483000,285.062
98,1776348166.869282,1776348166.614000,255.281
99,1776348166.920259,1776348166.650000,270.259
100,1776348167.076150,1776348166.814000,262.151
101,1776348167.128206,1776348166.888000,240.206
102,1776348167.282264,1776348167.030000,252.264
103,1776348167.333562,1776348167.098000,235.562
104,1776348167.488385,1776348167.262000,226.385
105,1776348167.540381,1776348167.289000,251.381
106,1776348167.693349,1776348167.456000,237.349
107,1776348167.745778,1776348167.485000,260.778
108,1776348167.796340,1776348167.528000,268.340
109,1776348167.846870,1776348167.629000,217.870
110,1776348167.897928,1776348167.663000,234.928
111,1776348167.948772,1776348167.694000,254.772
112,1776348168.101815,1776348167.825000,276.815
113,1776348168.153541,1776348167.882000,271.541
114,1776348168.256069,1776348168.027000,229.069
115,1776348168.306182,1776348168.061000,245.182
116,1776348168.356609,1776348168.089000,267.609
117,1776348168.458124,1776348168.222000,236.125
118,1776348168.508352,1776348168.253000,255.352
119,1776348168.559229,1776348168.296000,263.229
120,1776348168.661542,1776348168.428000,233.542
121,1776348168.712293,1776348168.454000,258.293
122,1776348168.763093,1776348168.488000,275.093
123,1776348168.866173,1776348168.626000,240.173
124,1776348168.917330,1776348168.654000,263.330
125,1776348169.069145,1776348168.828000,241.145
126,1776348169.122320,1776348168.856000,266.320
127,1776348169.275215,1776348169.025000,250.215
128,1776348169.332947,1776348169.054000,278.947
129,1776348169.389213,1776348169.130000,259.213
130,1776348169.497132,1776348169.254000,243.132
131,1776348169.548424,1776348169.299000,249.424
132,1776348169.599453,1776348169.329000,270.453
133,1776348169.701508,1776348169.456000,245.508
134,1776348169.752086,1776348169.496000,256.086
135,1776348169.802439,1776348169.524000,278.439
136,1776348169.853105,1776348169.632000,221.105
137,1776348169.903760,1776348169.632000,271.760
138,1776348169.955243,1776348169.687000,268.243
139,1776348170.005924,1776348169.715000,290.924
140,1776348170.057268,1776348169.816000,241.268
141,1776348170.107365,1776348169.844000,263.365
142,1776348170.158609,1776348169.888000,270.609
143,1776348170.262238,1776348170.024000,238.238
144,1776348170.313220,1776348170.054000,259.220
145,1776348170.364732,1776348170.128000,236.732
146,1776348170.473250,1776348170.215000,258.250
147,1776348170.529063,1776348170.259000,270.063
148,1776348170.579999,1776348170.318000,261.999
149,1776348170.680784,1776348170.425000,255.785
150,1776348170.731468,1776348170.493000,238.468
151,1776348170.785064,1776348170.520000,265.064
152,1776348170.896229,1776348170.657000,239.229
153,1776348170.948734,1776348170.689000,259.734
154,1776348171.001319,1776348170.717000,284.319
155,1776348171.104722,1776348170.853000,251.722
156,1776348171.157307,1776348170.883000,274.307
157,1776348171.259600,1776348171.027000,232.600
158,1776348171.310391,1776348171.054000,256.391
159,1776348171.361064,1776348171.084000,277.064
160,1776348171.463435,1776348171.224000,239.435
161,1776348171.514459,1776348171.254000,260.459
162,1776348171.565779,1776348171.327000,238.779
163,1776348171.678184,1776348171.425000,253.184
164,1776348171.730022,1776348171.452000,278.022
165,1776348171.781369,1776348171.524000,257.369
166,1776348171.883178,1776348171.618000,265.178
167,1776348171.934877,1776348171.681000,253.877
168,1776348171.987236,1776348171.715000,272.236
169,1776348172.091625,1776348171.860000,231.625
170,1776348172.143472,1776348171.888000,255.472
171,1776348172.195574,1776348171.929000,266.574
172,1776348172.247152,1776348172.018000,229.152
173,1776348172.298872,1776348172.047000,251.872
174,1776348172.403045,1776348172.127000,276.045
175,1776348172.454304,1776348172.217000,237.304
176,1776348172.505379,1776348172.260000,245.379
177,1776348172.556671,1776348172.287000,269.671
178,1776348172.659518,1776348172.427000,232.518
179,1776348172.711009,1776348172.458000,253.009
180,1776348172.762228,1776348172.488000,274.228
181,1776348172.875920,1776348172.615000,260.920
182,1776348172.930606,1776348172.656000,274.606
183,1776348172.993504,1776348172.719000,274.503
184,1776348173.099288,1776348172.860000,239.288
185,1776348173.150691,1776348172.889000,261.691
186,1776348173.201966,1776348172.917000,284.966
187,1776348173.253567,1776348173.015000,238.566
188,1776348173.304345,1776348173.060000,244.345
189,1776348173.355329,1776348173.087000,268.329
190,1776348173.457535,1776348173.228000,229.535
191,1776348173.510061,1776348173.257000,253.061
192,1776348173.561427,1776348173.283000,278.427
193,1776348173.663556,1776348173.427000,236.556
194,1776348173.715019,1776348173.452000,263.019
195,1776348173.766349,1776348173.524000,242.349
196,1776348173.870067,1776348173.629000,241.067
197,1776348173.921460,1776348173.656000,265.460
198,1776348173.973588,1776348173.722000,251.589
199,1776348174.127074,1776348173.880000,247.074
200,1776348174.181434,1776348173.927000,254.434
201,1776348174.284785,1776348174.016000,268.785
202,1776348174.335216,1776348174.079000,256.216
203,1776348174.386500,1776348174.125000,261.500
204,1776348174.487752,1776348174.261000,226.753
205,1776348174.538870,1776348174.289000,249.870
206,1776348174.589545,1776348174.319000,270.545
207,1776348174.692213,1776348174.454000,238.213
208,1776348174.743513,1776348174.481000,262.513
209,1776348174.795786,1776348174.525000,270.786
210,1776348174.847531,1776348174.631000,216.531
211,1776348174.897849,1776348174.647000,250.849
212,1776348174.950001,1776348174.676000,274.001
213,1776348175.001657,1776348174.728000,273.657
214,1776348175.054560,1776348174.824000,230.560
215,1776348175.105879,1776348174.858000,247.879
216,1776348175.157178,1776348174.887000,270.178
217,1776348175.321830,1776348175.058000,263.829
218,1776348175.373233,1776348175.121000,252.233
219,1776348175.475201,1776348175.216000,259.201
220,1776348175.526866,1776348175.258000,268.866
221,1776348175.577596,1776348175.327000,250.596
222,1776348175.681319,1776348175.413000,268.319
223,1776348175.734694,1776348175.488000,246.695
224,1776348175.787718,1776348175.513000,274.718
225,1776348175.889879,1776348175.654000,235.879
226,1776348175.942254,1776348175.696000,246.254
227,1776348175.994096,1776348175.722000,272.096
228,1776348176.095152,1776348175.866000,229.152
229,1776348176.146104,1776348175.897000,249.104
230,1776348176.197130,1776348175.928000,269.130
231,1776348176.250957,1776348176.028000,222.957
232,1776348176.302752,1776348176.062000,240.752
233,1776348176.357441,1776348176.089000,268.441
234,1776348176.409985,1776348176.119000,290.985
235,1776348176.512001,1776348176.249000,263.001
236,1776348176.563659,1776348176.291000,272.660
237,1776348176.667371,1776348176.423000,244.370
238,1776348176.719540,1776348176.449000,270.540
239,1776348176.771360,1776348176.523000,248.360
240,1776348176.923678,1776348176.654000,269.678
241,1776348176.975418,1776348176.713000,262.418
242,1776348177.129417,1776348176.889000,240.417
243,1776348177.181145,1776348176.919000,262.145
244,1776348177.334785,1776348177.091000,243.785
245,1776348177.390754,1776348177.118000,272.754
246,1776348177.498657,1776348177.255000,243.656
247,1776348177.553779,1776348177.296000,257.779
248,1776348177.672318,1776348177.421000,251.318
249,1776348177.731370,1776348177.495000,236.371
250,1776348177.793475,1776348177.525000,268.475
251,1776348177.854632,1776348177.626000,228.632
252,1776348177.908943,1776348177.652000,256.943
253,1776348177.962607,1776348177.693000,269.607
254,1776348178.119871,1776348177.858000,261.871
255,1776348178.171650,1776348177.928000,243.650
256,1776348178.275542,1776348178.027000,248.543
257,1776348178.328866,1776348178.073000,255.866
258,1776348178.381757,1776348178.118000,263.757
259,1776348178.536735,1776348178.289000,247.735
260,1776348178.587615,1776348178.330000,257.615
261,1776348178.689277,1776348178.457000,232.277
262,1776348178.740420,1776348178.500000,240.420
263,1776348178.791794,1776348178.530000,261.794
264,1776348178.944519,1776348178.704000,240.519
265,1776348178.995772,1776348178.737000,258.772
266,1776348179.046685,1776348178.838000,208.684
267,1776348179.097270,1776348178.866000,231.270
268,1776348179.147746,1776348178.897000,250.746
269,1776348179.201257,1776348178.925000,276.257
270,1776348179.305260,1776348179.069000,236.260
271,1776348179.356322,1776348179.097000,259.322
272,1776348179.508433,1776348179.267000,241.433
273,1776348179.559295,1776348179.295000,264.295
274,1776348179.714686,1776348179.457000,257.686
275,1776348179.765558,1776348179.502000,263.557
276,1776348179.917920,1776348179.631000,286.920
277,1776348179.968293,1776348179.720000,248.293
278,1776348180.129117,1776348179.845000,284.117
279,1776348180.185416,1776348179.921000,264.416
280,1776348180.293807,1776348180.052000,241.807
281,1776348180.345902,1776348180.082000,263.902
282,1776348180.398108,1776348180.114000,284.108
283,1776348180.502341,1776348180.262000,240.341
284,1776348180.555285,1776348180.292000,263.285
285,1776348180.711853,1776348180.458000,253.853
286,1776348180.764426,1776348180.489000,275.426
287,1776348180.922896,1776348180.660000,262.896
288,1776348180.977226,1776348180.716000,261.226
289,1776348181.129933,1776348180.860000,269.933
290,1776348181.181470,1776348180.918000,263.470
291,1776348181.334992,1776348181.094000,240.992
292,1776348181.386873,1776348181.121000,265.873
293,1776348181.488343,1776348181.254000,234.343
294,1776348181.539466,1776348181.297000,242.466
295,1776348181.590514,1776348181.324000,266.514
296,1776348181.692620,1776348181.456000,236.620
297,1776348181.743902,1776348181.485000,258.902
298,1776348181.796376,1776348181.529000,267.376
299,1776348181.898942,1776348181.651000,247.941
300,1776348181.950117,1776348181.694000,256.117
301,1776348182.000518,1776348181.726000,274.518
302,1776348182.101831,1776348181.857000,244.831
303,1776348182.152604,1776348181.889000,263.604
304,1776348182.203169,1776348181.930000,273.169
305,1776348182.306022,1776348182.054000,252.022
306,1776348182.356390,1776348182.095000,261.390
307,1776348182.529013,1776348182.248000,281.013
308,1776348182.582521,1776348182.325000,257.521
309,1776348182.639643,1776348182.356000,283.643
310,1776348182.692754,1776348182.460000,232.754
311,1776348182.743500,1776348182.497000,246.500
312,1776348182.794466,1776348182.525000,269.466
313,1776348182.845359,1776348182.555000,290.359
314,1776348182.896665,1776348182.660000,236.665
315,1776348182.947778,1776348182.688000,259.778
316,1776348182.998454,1776348182.719000,279.454
317,1776348183.101337,1776348182.875000,226.337
318,1776348183.152653,1776348182.875000,277.653
319,1776348183.204491,1776348182.965000,239.491
320,1776348183.308270,1776348183.054000,254.271
321,1776348183.359129,1776348183.081000,278.129
322,1776348183.411591,1776348183.161000,250.591
323,1776348183.513435,1776348183.250000,263.435
324,1776348183.565227,1776348183.298000,267.226
325,1776348183.727635,1776348183.461000,266.635
326,1776348183.780030,1776348183.524000,256.030
327,1776348183.831896,1776348183.552000,279.896
328,1776348183.934216,1776348183.696000,238.216
329,1776348183.985359,1776348183.710000,275.359
330,1776348184.036407,1776348183.759000,277.407
331,1776348184.087367,1776348183.863000,224.367
332,1776348184.138409,1776348183.897000,241.409
333,1776348184.189472,1776348183.927000,262.472
334,1776348184.242691,1776348183.956000,286.691
335,1776348184.293539,1776348184.054000,239.539
336,1776348184.344262,1776348184.082000,262.262
337,1776348184.394885,1776348184.116000,278.885
338,1776348184.446017,1776348184.148000,298.017
339,1776348184.497415,1776348184.258000,239.415
340,1776348184.549193,1776348184.287000,262.193
341,1776348184.601020,1776348184.333000,268.020
342,1776348184.704147,1776348184.455000,249.147
343,1776348184.756381,1776348184.497000,259.381
344,1776348184.807919,1776348184.558000,249.919
345,1776348184.925171,1776348184.646000,279.171
346,1776348184.978474,1776348184.725000,253.474
347,1776348185.030369,1776348184.760000,270.369
348,1776348185.134313,1776348184.897000,237.313
349,1776348185.185399,1776348184.926000,259.399
350,1776348185.236397,1776348184.954000,282.397
351,1776348185.337692,1776348185.082000,255.692
352,1776348185.389499,1776348185.114000,275.499
353,1776348185.441848,1776348185.163000,278.848
354,1776348185.494102,1776348185.263000,231.102
355,1776348185.546865,1776348185.290000,256.865
356,1776348185.598384,1776348185.331000,267.384
357,1776348185.701251,1776348185.466000,235.251
358,1776348185.752888,1776348185.493000,259.888
359,1776348185.803818,1776348185.519000,284.817
360,1776348185.908175,1776348185.664000,244.175
361,1776348185.958759,1776348185.693000,265.759
362,1776348186.009995,1776348185.765000,244.995
363,1776348186.124921,1776348185.861000,263.921
364,1776348186.178560,1776348185.920000,258.560
365,1776348186.230467,1776348185.958000,272.467
366,1776348186.386482,1776348186.120000,266.483
367,1776348186.437265,1776348186.164000,273.265
368,1776348186.489375,1776348186.252000,237.375
369,1776348186.540818,1776348186.294000,246.819
370,1776348186.592754,1776348186.323000,269.754
371,1776348186.644598,1776348186.365000,279.598
372,1776348186.695947,1776348186.463000,232.947
373,1776348186.747123,1776348186.492000,255.123
374,1776348186.798715,1776348186.523000,275.715
375,1776348186.900458,1776348186.663000,237.458
376,1776348186.951057,1776348186.696000,255.057
377,1776348187.002473,1776348186.725000,277.473
378,1776348187.106096,1776348186.864000,242.095
379,1776348187.158093,1776348186.896000,262.093
380,1776348187.209761,1776348186.956000,253.761
381,1776348187.325151,1776348187.055000,270.151
382,1776348187.377739,1776348187.128000,249.739
383,1776348187.430185,1776348187.172000,258.185
384,1776348187.535774,1776348187.283000,252.774
385,1776348187.589055,1776348187.331000,258.055
386,1776348187.641640,1776348187.357000,284.640
387,1776348187.694459,1776348187.463000,231.459
388,1776348187.746307,1776348187.490000,256.307
389,1776348187.800188,1776348187.521000,279.188
390,1776348187.903929,1776348187.662000,241.929
391,1776348187.954777,1776348187.691000,263.777
392,1776348188.005940,1776348187.753000,252.940
393,1776348188.108435,1776348187.857000,251.435
394,1776348188.160385,1776348187.883000,277.385
395,1776348188.212545,1776348187.962000,250.545
396,1776348188.367734,1776348188.097000,270.734
397,1776348188.419193,1776348188.163000,256.193
398,1776348188.522246,1776348188.262000,260.246
399,1776348188.572702,1776348188.324000,248.702
400,1776348188.623354,1776348188.352000,271.354
401,1776348188.724012,1776348188.456000,268.012
402,1776348188.774691,1776348188.525000,249.691
403,1776348188.826118,1776348188.554000,272.118
404,1776348188.928169,1776348188.687000,241.169
405,1776348188.980433,1776348188.744000,236.433
406,1776348189.032111,1776348188.744000,288.111
407,1776348189.135112,1776348188.888000,247.112
408,1776348189.187407,1776348188.923000,264.407
409,1776348189.238902,1776348188.953000,285.902
410,1776348189.343604,1776348189.097000,246.604
411,1776348189.446184,1776348189.164000,282.184
412,1776348189.549500,1776348189.294000,255.500
413,1776348189.600767,1776348189.327000,273.767
414,1776348189.651544,1776348189.357000,294.544
415,1776348189.752650,1776348189.496000,256.650
416,1776348189.804432,1776348189.530000,274.432
417,1776348189.908936,1776348189.628000,280.936
418,1776348189.961014,1776348189.696000,265.013
419,1776348190.012553,1776348189.746000,266.553
420,1776348190.114278,1776348189.859000,255.278
421,1776348190.165180,1776348189.891000,274.180
