sample_index,t_received,t_display,latency_ms
0,1776350439.072023,1776350438.763000,309.023
1,1776350439.260857,1776350438.954000,306.857
2,1776350439.458228,1776350439.163000,295.228
3,1776350439.626403,1776350439.314000,312.403
4,1776350439.807542,1776350439.521000,286.542
5,1776350439.983879,1776350439.690000,293.879
6,1776350440.161117,1776350439.894000,267.117
7,1776350440.371018,1776350440.070000,301.018
8,1776350440.718958,1776350440.388000,330.958
9,1776350441.074497,1776350440.795000,279.496
10,1776350441.260545,1776350440.968000,292.545
11,1776350441.646656,1776350441.390000,256.656
12,1776350441.833110,1776350441.568000,265.110
13,1776350442.012303,1776350441.724000,288.303
14,1776350442.221794,1776350441.968000,253.794
15,1776350442.400446,1776350442.121000,279.446
16,1776350442.581181,1776350442.345000,236.181
17,1776350442.759532,1776350442.485000,274.532
18,1776350442.999263,1776350442.718000,281.263
19,1776350443.182651,1776350442.935000,247.651
20,1776350443.361389,1776350443.098000,263.389
21,1776350443.541147,1776350443.308000,233.147
22,1776350443.893603,1776350443.604000,289.603
23,1776350444.070831,1776350443.802000,268.831
24,1776350444.421704,1776350444.160000,261.703
25,1776350444.599294,1776350444.336000,263.294
26,1776350444.776146,1776350444.533000,243.146
27,1776350445.489098,1776350445.165000,324.098
28,1776350445.671721,1776350445.406000,265.721
29,1776350445.845269,1776350445.586000,259.269
30,1776350446.020462,1776350445.776000,244.462
31,1776350446.192947,1776350445.937000,255.947
32,1776350446.384601,1776350446.137000,247.601
33,1776350446.570127,1776350446.341000,229.127
34,1776350446.746871,1776350446.502000,244.871
35,1776350446.936304,1776350446.689000,247.304
36,1776350447.287175,1776350446.998000,289.176
37,1776350447.468772,1776350447.195000,273.772
38,1776350447.650795,1776350447.402000,248.795
39,1776350448.004162,1776350447.755000,249.162
40,1776350448.185844,1776350447.964000,221.844
41,1776350448.372105,1776350448.135000,237.105
42,1776350449.304525,1776350449.005000,299.525
43,1776350449.496338,1776350449.209000,287.338
44,1776350449.667444,1776350449.409000,258.444
45,1776350449.850791,1776350449.599000,251.791
46,1776350450.020092,1776350449.765000,255.091
47,1776350450.192164,1776350449.940000,252.164
48,1776350451.084666,1776350450.774000,310.666
49,1776350451.253339,1776350450.991000,262.339
50,1776350451.424136,1776350451.167000,257.136
51,1776350451.599404,1776350451.372000,227.404
52,1776350451.768727,1776350451.551000,217.727
53,1776350452.276977,1776350452.007000,269.977
54,1776350452.452805,1776350452.191000,261.805
55,1776350452.636616,1776350452.411000,225.616
56,1776350452.812772,1776350452.572000,240.772
57,1776350453.326452,1776350453.034000,292.453
58,1776350453.497560,1776350453.210000,287.560
59,1776350453.700602,1776350453.442000,258.602
60,1776350453.891113,1776350453.611000,280.113
61,1776350454.066681,1776350453.802000,264.681
62,1776350454.244752,1776350454.012000,232.752
63,1776350454.416175,1776350454.178000,238.175
64,1776350455.101522,1776350454.828000,273.522
65,1776350455.272503,1776350455.002000,270.503
66,1776350455.442967,1776350455.207000,235.967
67,1776350455.619481,1776350455.368000,251.481
68,1776350455.790689,1776350455.527000,263.689
69,1776350455.963138,1776350455.663000,300.138
70,1776350456.308405,1776350456.055000,253.405
71,1776350456.479753,1776350456.221000,258.753
72,1776350456.651432,1776350456.409000,242.432
73,1776350456.822529,1776350456.564000,258.529
74,1776350456.997356,1776350456.744000,253.356
75,1776350457.520770,1776350457.233000,287.770
76,1776350457.694043,1776350457.402000,292.043
77,1776350457.868721,1776350457.629000,239.721
78,1776350458.044270,1776350457.819000,225.270
79,1776350458.216541,1776350457.974000,242.541
80,1776350458.907973,1776350458.641000,266.973
81,1776350459.082514,1776350458.809000,273.514
82,1776350459.259936,1776350459.020000,239.936
83,1776350459.434405,1776350459.189000,245.405
84,1776350459.613848,1776350459.372000,241.848
85,1776350460.124367,1776350459.844000,280.367
86,1776350460.292507,1776350460.010000,282.507
87,1776350460.474197,1776350460.198000,276.197
88,1776350460.685428,1776350460.430000,255.428
89,1776350460.856503,1776350460.618000,238.503
90,1776350461.029207,1776350460.773000,256.207
91,1776350461.204899,1776350460.968000,236.899
92,1776350461.379930,1776350461.143000,236.930
93,1776350461.724484,1776350461.450000,274.484
94,1776350461.897921,1776350461.608000,289.921
95,1776350462.075591,1776350461.804000,271.591
96,1776350462.251132,1776350461.982000,269.131
97,1776350462.422143,1776350462.164000,258.143
98,1776350462.940445,1776350462.674000,266.445
99,1776350463.114571,1776350462.852000,262.571
100,1776350463.287772,1776350463.002000,285.772
101,1776350463.459809,1776350463.209000,250.809
102,1776350463.630743,1776350463.385000,245.743
103,1776350463.801202,1776350463.586000,215.202
104,1776350464.511796,1776350464.239000,272.796
105,1776350464.681007,1776350464.416000,265.007
106,1776350464.848790,1776350464.598000,250.790
107,1776350465.017443,1776350464.774000,243.443
108,1776350465.355947,1776350465.081000,274.947
109,1776350465.525310,1776350465.253000,272.310
110,1776350465.696439,1776350465.404000,292.439
111,1776350465.866901,1776350465.606000,260.901
112,1776350466.053013,1776350465.803000,250.013
113,1776350466.234948,1776350466.007000,227.948
114,1776350466.405401,1776350466.187000,218.401
115,1776350467.124598,1776350466.843000,281.598
116,1776350467.302273,1776350467.055000,247.273
117,1776350467.480017,1776350467.214000,266.017
118,1776350467.661294,1776350467.405000,256.294
119,1776350467.836928,1776350467.611000,225.928
120,1776350468.022836,1776350467.763000,259.836
121,1776350468.227376,1776350467.992000,235.376
122,1776350468.420568,1776350468.180000,240.568
123,1776350468.587900,1776350468.286000,301.900
124,1776350469.155457,1776350468.880000,275.457
125,1776350469.346224,1776350469.085000,261.224
126,1776350469.517534,1776350469.234000,283.534
127,1776350469.688356,1776350469.415000,273.356
128,1776350469.868534,1776350469.599000,269.534
129,1776350470.042499,1776350469.822000,220.499
130,1776350470.233153,1776350470.018000,215.153
131,1776350471.259426,1776350471.013000,246.426
132,1776350471.469096,1776350471.215000,254.096
133,1776350471.662016,1776350471.412000,250.016
134,1776350471.862899,1776350471.628000,234.899
135,1776350472.044924,1776350471.807000,237.924
136,1776350472.239007,1776350472.020000,219.007
137,1776350472.458412,1776350472.223000,235.412
138,1776350472.638199,1776350472.408000,230.199
139,1776350473.241243,1776350473.009000,232.243
140,1776350473.617166,1776350473.398000,219.166
141,1776350474.143256,1776350473.875000,268.256
142,1776350474.317264,1776350474.058000,259.264
143,1776350474.497912,1776350474.217000,280.912
144,1776350474.716362,1776350474.465000,251.362
145,1776350474.917431,1776350474.672000,245.431
146,1776350475.154337,1776350474.879000,275.337
147,1776350475.364239,1776350475.086000,278.239
148,1776350475.558197,1776350475.264000,294.198
149,1776350475.735952,1776350475.435000,300.952
150,1776350475.915568,1776350475.650000,265.568
151,1776350476.085515,1776350475.812000,273.515
152,1776350476.255771,1776350475.993000,262.771
153,1776350476.944547,1776350476.710000,234.547
154,1776350477.112803,1776350476.849000,263.803
155,1776350477.281025,1776350477.014000,267.025
156,1776350477.448453,1776350477.220000,228.453
157,1776350477.648559,1776350477.409000,239.559
158,1776350477.856313,1776350477.615000,241.313
159,1776350478.033594,1776350477.813000,220.594
160,1776350478.763740,1776350478.504000,259.740
161,1776350478.938285,1776350478.673000,265.285
