sample_index,t_received,t_stamp,age_ms
0,1776403226.548763,1776403226.414808,133.955
1,1776403226.650431,1776403226.509336,141.095
2,1776403226.762585,1776403226.628465,134.120
3,1776403226.879953,1776403226.710840,169.113
4,1776403226.993822,1776403226.829475,164.347
5,1776403227.105149,1776403226.947297,157.852
6,1776403227.221173,1776403227.064764,156.409
7,1776403227.328779,1776403227.192454,136.325
8,1776403227.425661,1776403227.269788,155.873
9,1776403227.528738,1776403227.390434,138.304
10,1776403227.634030,1776403227.509886,124.144
11,1776403227.731250,1776403227.612693,118.558
12,1776403227.844970,1776403227.710487,134.483
13,1776403227.944167,1776403227.785441,158.726
14,1776403228.052005,1776403227.909175,142.830
15,1776403228.168695,1776403228.031858,136.837
16,1776403228.287954,1776403228.147120,140.834
17,1776403228.404414,1776403228.266321,138.093
18,1776403228.522216,1776403228.384817,137.398
19,1776403228.630192,1776403228.466986,163.206
20,1776403228.741281,1776403228.589941,151.340
21,1776403228.838567,1776403228.707628,130.939
22,1776403228.933866,1776403228.754445,179.421
23,1776403229.037230,1776403228.909935,127.295
24,1776403229.133787,1776403228.983838,149.949
25,1776403229.236067,1776403229.112065,124.002
26,1776403229.339486,1776403229.193775,145.712
27,1776403229.454422,1776403229.309410,145.011
28,1776403229.561569,1776403229.432380,129.189
29,1776403229.674794,1776403229.513794,161.000
30,1776403229.784012,1776403229.632686,151.326
31,1776403229.888445,1776403229.752881,135.564
32,1776403229.996799,1776403229.829138,167.661
33,1776403230.098486,1776403229.950594,147.892
34,1776403230.195827,1776403230.080620,115.207
35,1776403230.300403,1776403230.148220,152.183
36,1776403230.406659,1776403230.271584,135.074
37,1776403230.504095,1776403230.350582,153.513
38,1776403230.603046,1776403230.472768,130.278
39,1776403230.702152,1776403230.550361,151.791
40,1776403230.803672,1776403230.672097,131.575
41,1776403230.908377,1776403230.753093,155.284
42,1776403231.014247,1776403230.871975,142.272
43,1776403231.122754,1776403230.988695,134.058
44,1776403231.228954,1776403231.070574,158.381
45,1776403231.328365,1776403231.207950,120.415
46,1776403231.436528,1776403231.308082,128.447
47,1776403231.557000,1776403231.388424,168.577
48,1776403231.665824,1776403231.507227,158.597
49,1776403231.783892,1776403231.630817,153.075
50,1776403231.902358,1776403231.749653,152.705
51,1776403232.007379,1776403231.870604,136.775
52,1776403232.114646,1776403231.985393,129.253
53,1776403232.218696,1776403232.065605,153.091
54,1776403232.322876,1776403232.189875,133.002
55,1776403232.429649,1776403232.270736,158.913
56,1776403232.531556,1776403232.352478,179.078
57,1776403232.628831,1776403232.508144,120.687
58,1776403232.726981,1776403232.587878,139.103
59,1776403232.830816,1776403232.705725,125.091
60,1776403232.945663,1776403232.790377,155.286
61,1776403233.066220,1776403232.907266,158.954
62,1776403233.181828,1776403233.025061,156.767
63,1776403233.293837,1776403233.147418,146.419
64,1776403233.410396,1776403233.270214,140.182
65,1776403233.519052,1776403233.351268,167.785
66,1776403233.623295,1776403233.474247,149.048
67,1776403233.729822,1776403233.555849,173.973
68,1776403233.829729,1776403233.710969,118.760
69,1776403233.921862,1776403233.789194,132.668
70,1776403234.020957,1776403233.869676,151.281
71,1776403234.130161,1776403233.988010,142.150
72,1776403234.238858,1776403234.111812,127.047
73,1776403234.348057,1776403234.191730,156.327
74,1776403234.450512,1776403234.313022,137.491
75,1776403234.560378,1776403234.432502,127.877
76,1776403234.658636,1776403234.516590,142.046
77,1776403234.756383,1776403234.628333,128.050
78,1776403234.860864,1776403234.709411,151.453
79,1776403234.970128,1776403234.835199,134.929
80,1776403235.079565,1776403234.950184,129.380
81,1776403235.186893,1776403235.032962,153.932
82,1776403235.294165,1776403235.150472,143.693
83,1776403235.400291,1776403235.272334,127.957
84,1776403235.495116,1776403235.349972,145.144
85,1776403235.600557,1776403235.474193,126.364
86,1776403235.704353,1776403235.558807,145.546
87,1776403235.809277,1776403235.668408,140.868
88,1776403235.909490,1776403235.756574,152.915
89,1776403236.006792,1776403235.873047,133.745
90,1776403236.101114,1776403235.946206,154.908
91,1776403236.200129,1776403236.068997,131.131
92,1776403236.299994,1776403236.152337,147.657
93,1776403236.401025,1776403236.275527,125.498
94,1776403236.495764,1776403236.354251,141.513
95,1776403236.598996,1776403236.465014,133.982
96,1776403236.712213,1776403236.547730,164.483
97,1776403236.837529,1776403236.667329,170.200
98,1776403236.959714,1776403236.789015,170.699
99,1776403237.069990,1776403236.909413,160.578
100,1776403237.181094,1776403237.029813,151.281
101,1776403237.287394,1776403237.147137,140.257
102,1776403237.398979,1776403237.267775,131.204
103,1776403237.509813,1776403237.349055,160.758
104,1776403237.607081,1776403237.472271,134.810
105,1776403237.704874,1776403237.587575,117.299
106,1776403237.808420,1776403237.669821,138.599
107,1776403237.907513,1776403237.748253,159.260
108,1776403238.011283,1776403237.870224,141.059
109,1776403238.117249,1776403237.991695,125.554
110,1776403238.225620,1776403238.067338,158.282
111,1776403238.335708,1776403238.190514,145.194
112,1776403238.439142,1776403238.312880,126.261
113,1776403238.534106,1776403238.407296,126.810
114,1776403238.633660,1776403238.509469,124.192
115,1776403238.737185,1776403238.584655,152.530
116,1776403238.843419,1776403238.709769,133.650
117,1776403238.945527,1776403238.789977,155.550
118,1776403239.048189,1776403238.912108,136.081
119,1776403239.150911,1776403238.992110,158.801
120,1776403239.250548,1776403239.112367,138.182
121,1776403239.350182,1776403239.189303,160.879
122,1776403239.447492,1776403239.312071,135.422
123,1776403239.548920,1776403239.391238,157.682
124,1776403239.655960,1776403239.511428,144.532
125,1776403239.748238,1776403239.635315,112.923
126,1776403239.848210,1776403239.710803,137.407
127,1776403239.939845,1776403239.789820,150.026
128,1776403240.040616,1776403239.911409,129.208
129,1776403240.152439,1776403239.986825,165.614
130,1776403240.261098,1776403240.111741,149.358
131,1776403240.368727,1776403240.233047,135.679
132,1776403240.469985,1776403240.352492,117.493
133,1776403240.567424,1776403240.434505,132.919
134,1776403240.669571,1776403240.512424,157.147
135,1776403240.774818,1776403240.632427,142.390
136,1776403240.887523,1776403240.752985,134.538
137,1776403240.996026,1776403240.867812,128.214
138,1776403241.094641,1776403240.948478,146.164
139,1776403241.196583,1776403241.069708,126.874
140,1776403241.301301,1776403241.149481,151.820
141,1776403241.404585,1776403241.272025,132.561
142,1776403241.512954,1776403241.350320,162.635
143,1776403241.611161,1776403241.470499,140.662
144,1776403241.711368,1776403241.589417,121.950
145,1776403241.817765,1776403241.673157,144.608
146,1776403241.915725,1776403241.787910,127.814
147,1776403242.020722,1776403241.870156,150.566
148,1776403242.122539,1776403241.947119,175.420
149,1776403242.224426,1776403242.074975,149.451
150,1776403242.324335,1776403242.187551,136.784
151,1776403242.427818,1776403242.272161,155.657
152,1776403242.534157,1776403242.389789,144.368
153,1776403242.638221,1776403242.512032,126.189
154,1776403242.737659,1776403242.586409,151.250
155,1776403242.845260,1776403242.713498,131.762
156,1776403242.950953,1776403242.791823,159.130
157,1776403243.044721,1776403242.906703,138.017
158,1776403243.143939,1776403243.026728,117.210
159,1776403243.243332,1776403243.111978,131.354
160,1776403243.349087,1776403243.217416,131.670
161,1776403243.452959,1776403243.306950,146.009
162,1776403243.558738,1776403243.431659,127.079
163,1776403243.657374,1776403243.510915,146.459
164,1776403243.754100,1776403243.629036,125.064
165,1776403243.858726,1776403243.707778,150.949
166,1776403243.966549,1776403243.828933,137.616
167,1776403244.072095,1776403243.912994,159.101
168,1776403244.179358,1776403244.030919,148.439
169,1776403244.280916,1776403244.146632,134.283
170,1776403244.383010,1776403244.264902,118.108
171,1776403244.482456,1776403244.346419,136.037
172,1776403244.584133,1776403244.431241,152.891
