sample_index,t_received,t_stamp,age_ms
0,1776403320.122186,1776403320.068535,53.651
1,1776403320.154836,1776403320.110180,44.657
2,1776403320.197197,1776403320.147552,49.645
3,1776403320.240121,1776403320.188641,51.480
4,1776403320.277517,1776403320.231654,45.863
5,1776403320.313000,1776403320.267934,45.067
6,1776403320.357738,1776403320.312911,44.827
7,1776403320.388720,1776403320.351809,36.911
8,1776403320.442095,1776403320.395716,46.378
9,1776403320.474844,1776403320.433728,41.115
10,1776403320.517660,1776403320.475645,42.015
11,1776403320.567505,1776403320.513433,54.073
12,1776403320.614221,1776403320.549667,64.554
13,1776403320.657695,1776403320.593302,64.394
14,1776403320.703336,1776403320.632207,71.128
15,1776403320.737473,1776403320.669751,67.722
16,1776403320.780794,1776403320.712676,68.118
17,1776403320.824492,1776403320.751385,73.107
18,1776403320.867387,1776403320.790775,76.611
19,1776403320.912982,1776403320.831021,81.962
20,1776403320.952002,1776403320.872223,79.779
21,1776403320.983212,1776403320.946311,36.901
22,1776403321.034839,1776403320.991713,43.127
23,1776403321.083702,1776403321.031848,51.854
24,1776403321.122191,1776403321.069152,53.040
25,1776403321.158307,1776403321.112791,45.516
26,1776403321.189134,1776403321.151384,37.750
27,1776403321.268268,1776403321.221071,47.197
28,1776403321.306498,1776403321.241065,65.433
29,1776403321.336478,1776403321.268043,68.435
30,1776403321.374917,1776403321.307553,67.364
31,1776403321.410936,1776403321.350437,60.499
32,1776403321.458693,1776403321.390849,67.844
33,1776403321.492672,1776403321.428532,64.140
34,1776403321.537719,1776403321.470194,67.524
35,1776403321.572174,1776403321.511239,60.935
36,1776403321.607768,1776403321.549083,58.685
37,1776403321.644510,1776403321.590385,54.125
38,1776403321.684116,1776403321.634370,49.746
39,1776403321.721944,1776403321.670884,51.059
40,1776403321.755973,1776403321.713785,42.188
41,1776403321.797076,1776403321.752962,44.113
42,1776403321.828331,1776403321.790187,38.143
43,1776403321.885602,1776403321.829959,55.642
44,1776403321.931523,1776403321.868684,62.839
45,1776403321.979559,1776403321.914061,65.498
46,1776403322.017049,1776403321.952157,64.892
47,1776403322.057513,1776403321.996075,61.438
48,1776403322.095031,1776403322.031008,64.023
49,1776403322.136734,1776403322.071602,65.132
50,1776403322.174169,1776403322.112839,61.329
51,1776403322.213398,1776403322.151136,62.262
52,1776403322.256420,1776403322.194827,61.594
53,1776403322.295500,1776403322.233937,61.563
54,1776403322.329406,1776403322.272268,57.138
55,1776403322.364048,1776403322.317608,46.440
56,1776403322.397286,1776403322.352019,45.267
57,1776403322.468579,1776403322.424904,43.674
58,1776403322.504400,1776403322.443334,61.065
59,1776403322.540012,1776403322.467983,72.029
60,1776403322.576953,1776403322.507567,69.386
61,1776403322.616893,1776403322.549322,67.571
62,1776403322.658594,1776403322.589429,69.165
63,1776403322.694474,1776403322.634791,59.682
64,1776403322.737876,1776403322.672967,64.909
65,1776403322.779991,1776403322.713544,66.447
66,1776403322.820360,1776403322.748570,71.789
67,1776403322.859588,1776403322.796549,63.038
68,1776403322.903310,1776403322.832009,71.301
69,1776403322.944788,1776403322.871703,73.084
70,1776403322.985090,1776403322.911935,73.154
71,1776403323.028379,1776403322.949128,79.252
72,1776403323.064789,1776403322.993660,71.129
73,1776403323.098829,1776403323.033032,65.797
74,1776403323.139730,1776403323.072271,67.459
75,1776403323.179924,1776403323.113505,66.418
76,1776403323.221997,1776403323.152141,69.856
77,1776403323.260443,1776403323.195070,65.373
78,1776403323.294353,1776403323.229844,64.508
79,1776403323.329596,1776403323.272766,56.830
80,1776403323.365435,1776403323.312857,52.578
81,1776403323.395908,1776403323.353548,42.360
82,1776403323.424454,1776403323.390087,34.367
83,1776403323.479173,1776403323.436246,42.927
84,1776403323.514488,1776403323.468294,46.194
85,1776403323.559211,1776403323.511930,47.281
86,1776403323.596826,1776403323.552195,44.631
87,1776403323.661884,1776403323.617740,44.144
88,1776403323.704940,1776403323.636695,68.244
89,1776403323.740730,1776403323.667877,72.853
90,1776403323.780954,1776403323.708786,72.167
91,1776403323.823985,1776403323.749390,74.595
92,1776403323.863953,1776403323.789762,74.191
93,1776403323.897641,1776403323.833450,64.192
94,1776403323.931411,1776403323.874582,56.829
95,1776403323.982576,1776403323.914040,68.536
96,1776403324.026344,1776403323.955022,71.322
97,1776403324.060731,1776403323.996933,63.798
98,1776403324.097480,1776403324.033848,63.632
99,1776403324.138483,1776403324.073673,64.811
100,1776403324.179960,1776403324.115425,64.536
101,1776403324.231396,1776403324.156209,75.188
102,1776403324.273746,1776403324.194140,79.606
103,1776403324.316286,1776403324.235260,81.025
104,1776403324.359140,1776403324.271435,87.705
105,1776403324.395582,1776403324.353352,42.231
106,1776403324.445056,1776403324.396219,48.837
107,1776403324.485041,1776403324.433298,51.743
108,1776403324.529758,1776403324.472488,57.271
109,1776403324.575283,1776403324.512744,62.539
110,1776403324.615028,1776403324.555926,59.102
111,1776403324.658512,1776403324.592165,66.347
112,1776403324.697166,1776403324.635280,61.886
113,1776403324.731126,1776403324.671958,59.167
114,1776403324.766201,1776403324.712755,53.446
115,1776403324.806272,1776403324.751480,54.792
116,1776403324.870659,1776403324.814313,56.345
117,1776403324.922642,1776403324.831637,91.005
118,1776403324.959500,1776403324.909712,49.788
119,1776403324.995767,1776403324.950724,45.043
120,1776403325.037394,1776403324.989127,48.266
121,1776403325.079951,1776403325.030226,49.724
122,1776403325.120171,1776403325.069304,50.867
123,1776403325.171053,1776403325.113454,57.599
124,1776403325.228907,1776403325.151896,77.011
125,1776403325.282651,1776403325.189865,92.786
126,1776403325.327286,1776403325.274756,52.529
127,1776403325.366204,1776403325.313736,52.468
128,1776403325.406154,1776403325.350900,55.254
129,1776403325.447747,1776403325.391606,56.142
130,1776403325.492325,1776403325.434045,58.280
131,1776403325.545895,1776403325.472953,72.942
