sample_index,t_received,t_stamp,age_ms
0,1776403172.944067,1776403172.874031,70.036
1,1776403172.983746,1776403172.915987,67.758
2,1776403173.020560,1776403172.945835,74.725
3,1776403173.060699,1776403172.991062,69.636
4,1776403173.099979,1776403173.032703,67.276
5,1776403173.144726,1776403173.074294,70.431
6,1776403173.187114,1776403173.115959,71.155
7,1776403173.227880,1776403173.150406,77.473
8,1776403173.273288,1776403173.192375,80.913
9,1776403173.313109,1776403173.232229,80.880
10,1776403173.355817,1776403173.264911,90.906
11,1776403173.397552,1776403173.305433,92.119
12,1776403173.443981,1776403173.352152,91.829
13,1776403173.486626,1776403173.431081,55.545
14,1776403173.530607,1776403173.468895,61.711
15,1776403173.577670,1776403173.513390,64.280
16,1776403173.626948,1776403173.553086,73.863
17,1776403173.674755,1776403173.612291,62.464
18,1776403173.714734,1776403173.628523,86.211
19,1776403173.751836,1776403173.667980,83.856
20,1776403173.782912,1776403173.745045,37.867
21,1776403173.836758,1776403173.785694,51.064
22,1776403173.883959,1776403173.831394,52.565
23,1776403173.917738,1776403173.869779,47.959
24,1776403173.960766,1776403173.909400,51.366
25,1776403173.999163,1776403173.946846,52.316
26,1776403174.042891,1776403173.989158,53.733
27,1776403174.083092,1776403174.029422,53.671
28,1776403174.124346,1776403174.069545,54.801
29,1776403174.166705,1776403174.111189,55.516
30,1776403174.204093,1776403174.149975,54.118
31,1776403174.245896,1776403174.188926,56.969
32,1776403174.284620,1776403174.229580,55.040
33,1776403174.328690,1776403174.269164,59.526
34,1776403174.368469,1776403174.312515,55.954
35,1776403174.411004,1776403174.347290,63.714
36,1776403174.452888,1776403174.384968,67.920
37,1776403174.495737,1776403174.432208,63.529
38,1776403174.542460,1776403174.470491,71.969
39,1776403174.585338,1776403174.508597,76.741
40,1776403174.627899,1776403174.550203,77.696
41,1776403174.675521,1776403174.592016,83.505
42,1776403174.716188,1776403174.631256,84.932
43,1776403174.760640,1776403174.672227,88.413
44,1776403174.796776,1776403174.714571,82.206
45,1776403174.842033,1776403174.755629,86.404
46,1776403174.882845,1776403174.827102,55.743
47,1776403174.924322,1776403174.868328,55.994
48,1776403174.964412,1776403174.911370,53.042
49,1776403175.003036,1776403174.949792,53.244
50,1776403175.046953,1776403174.991234,55.719
51,1776403175.089848,1776403175.028773,61.075
52,1776403175.133264,1776403175.070579,62.685
53,1776403175.172204,1776403175.110145,62.060
54,1776403175.218883,1776403175.151043,67.840
55,1776403175.262285,1776403175.186209,76.076
56,1776403175.302625,1776403175.231536,71.088
57,1776403175.345664,1776403175.269441,76.223
58,1776403175.384774,1776403175.307691,77.083
59,1776403175.425634,1776403175.349023,76.611
60,1776403175.466106,1776403175.391265,74.841
61,1776403175.508004,1776403175.430832,77.172
62,1776403175.549486,1776403175.473162,76.324
63,1776403175.584212,1776403175.511211,73.001
64,1776403175.620231,1776403175.546768,73.462
65,1776403175.662534,1776403175.590055,72.479
66,1776403175.707843,1776403175.635225,72.618
67,1776403175.749645,1776403175.671861,77.784
68,1776403175.796095,1776403175.710623,85.472
69,1776403175.835873,1776403175.753073,82.800
70,1776403175.877905,1776403175.789941,87.965
71,1776403175.918980,1776403175.829314,89.667
72,1776403175.966608,1776403175.912150,54.458
73,1776403176.013951,1776403175.951178,62.773
74,1776403176.061628,1776403176.009824,51.805
75,1776403176.099759,1776403176.032929,66.830
76,1776403176.141479,1776403176.066365,75.114
77,1776403176.184353,1776403176.109680,74.673
78,1776403176.220859,1776403176.151268,69.591
79,1776403176.263824,1776403176.188085,75.739
80,1776403176.309109,1776403176.228552,80.557
81,1776403176.347733,1776403176.270179,77.554
82,1776403176.386246,1776403176.312193,74.054
83,1776403176.429423,1776403176.355419,74.004
84,1776403176.471017,1776403176.389678,81.339
85,1776403176.514533,1776403176.430725,83.808
86,1776403176.560956,1776403176.472419,88.537
87,1776403176.604085,1776403176.548381,55.704
88,1776403176.644505,1776403176.590563,53.942
89,1776403176.686476,1776403176.631980,54.496
90,1776403176.729835,1776403176.670674,59.161
91,1776403176.769413,1776403176.709375,60.038
92,1776403176.811825,1776403176.747876,63.948
93,1776403176.852456,1776403176.787319,65.136
94,1776403176.889350,1776403176.830076,59.274
95,1776403176.929073,1776403176.867474,61.599
96,1776403176.970398,1776403176.911472,58.926
97,1776403177.013651,1776403176.947478,66.173
98,1776403177.054764,1776403176.989323,65.440
99,1776403177.097991,1776403177.034220,63.770
100,1776403177.139720,1776403177.073892,65.827
101,1776403177.180899,1776403177.110442,70.457
102,1776403177.218956,1776403177.150321,68.635
103,1776403177.264423,1776403177.210154,54.269
104,1776403177.302252,1776403177.230431,71.821
105,1776403177.345509,1776403177.268145,77.364
106,1776403177.386604,1776403177.307244,79.360
107,1776403177.429982,1776403177.347983,81.999
108,1776403177.470368,1776403177.387753,82.615
109,1776403177.512587,1776403177.427256,85.331
110,1776403177.555991,1776403177.470500,85.491
111,1776403177.599945,1776403177.509375,90.570
112,1776403177.648098,1776403177.587908,60.189
113,1776403177.689257,1776403177.630518,58.739
114,1776403177.731813,1776403177.668214,63.600
115,1776403177.768875,1776403177.714878,53.997
116,1776403177.809734,1776403177.749618,60.117
117,1776403177.850798,1776403177.794422,56.376
118,1776403177.892306,1776403177.830273,62.033
119,1776403177.933666,1776403177.866749,66.917
120,1776403177.972005,1776403177.909257,62.748
121,1776403178.012600,1776403177.944935,67.666
122,1776403178.056205,1776403177.986996,69.209
123,1776403178.103814,1776403178.031080,72.734
124,1776403178.145983,1776403178.072474,73.509
125,1776403178.182183,1776403178.107318,74.865
126,1776403178.221423,1776403178.146589,74.835
127,1776403178.265292,1776403178.192084,73.208
128,1776403178.302453,1776403178.232923,69.530
129,1776403178.339499,1776403178.270386,69.113
130,1776403178.382968,1776403178.312927,70.041
131,1776403178.422647,1776403178.353034,69.613
132,1776403178.462810,1776403178.411071,51.739
133,1776403178.500196,1776403178.428109,72.087
134,1776403178.538320,1776403178.468123,70.197
135,1776403178.580416,1776403178.510705,69.711
136,1776403178.617852,1776403178.551786,66.066
137,1776403178.654016,1776403178.590670,63.346
138,1776403178.693578,1776403178.631532,62.047
139,1776403178.734404,1776403178.671414,62.990
140,1776403178.776285,1776403178.713109,63.176
141,1776403178.815823,1776403178.750541,65.281
142,1776403178.851750,1776403178.793201,58.549
143,1776403178.888910,1776403178.831532,57.378
144,1776403178.929042,1776403178.873342,55.700
145,1776403178.967797,1776403178.911675,56.121
146,1776403179.002921,1776403178.952629,50.292
147,1776403179.038640,1776403178.991324,47.315
148,1776403179.079374,1776403179.030628,48.746
149,1776403179.121770,1776403179.068559,53.211
150,1776403179.161745,1776403179.112701,49.044
151,1776403179.199122,1776403179.154721,44.401
152,1776403179.238468,1776403179.193976,44.492
153,1776403179.280619,1776403179.230667,49.952
154,1776403179.322232,1776403179.272824,49.409
155,1776403179.360734,1776403179.313811,46.922
156,1776403179.397346,1776403179.349166,48.180
157,1776403179.436471,1776403179.387329,49.142
158,1776403179.478257,1776403179.431180,47.077
159,1776403179.514604,1776403179.469807,44.797
160,1776403179.563936,1776403179.514637,49.299
161,1776403179.604658,1776403179.550073,54.585
162,1776403179.672638,1776403179.622601,50.038
163,1776403179.710623,1776403179.643222,67.401
164,1776403179.748920,1776403179.666515,82.405
165,1776403179.788485,1776403179.709449,79.036
